iter	Passed	Remaining
399	37934	56901
400	38018	56790
401	38111	56693
402	38234	56639
403	38369	56604
404	38493	56552
405	38618	56501
406	38756	56467
407	38880	56414
408	39002	56357
409	39125	56302
410	39253	56253
411	39378	56200
412	39520	56170
413	39666	56146
414	39775	56068
415	39855	55950
416	39933	55830
417	40013	55713
418	40093	55594
419	40174	55479
420	40260	55369
421	40340	55253
422	40418	55133
423	40497	55014
424	40574	54895
425	40651	54774
426	40728	54654
427	40832	54570
428	40914	54457
429	41000	54349
430	41080	54234
431	41157	54114
432	41236	53997
433	41313	53879
434	41390	53760
435	41470	53645
436	41551	53531
437	41633	53420
438	41712	53304
439	41792	53190
440	41894	53104
441	41970	52985
442	42050	52871
443	42132	52760
444	42214	52649
445	42354	52610
446	42477	52550
447	42596	52485
448	42718	52422
449	42839	52359
450	42970	52307
451	43087	52239
452	43206	52172
453	43330	52111
454	43460	52057
455	43577	51987
456	43704	51929
457	43828	51867
458	43974	51830
459	44157	51837
460	44234	51718
461	44314	51604
462	44403	51500
463	44483	51386
464	44566	51275
465	44650	51165
466	44732	51054
467	44811	50939
468	44889	50824
469	44994	50738
470	45072	50622
471	45149	50506
472	45228	50392
473	45306	50277
474	45391	50169
475	45470	50055
476	45550	49943
477	45628	49828
478	45705	49713
479	45786	49601
480	45866	49490
481	45978	49412
482	46058	49301
483	46138	49188
484	46217	49075
485	46296	48963
486	46380	48856
487	46465	48750
488	46581	48676
489	46706	48612
490	46825	48542
491	46947	48474
492	47104	48442
493	47228	48376
494	47349	48306
495	47474	48240
496	47599	48173
497	47726	48109
498	47869	48061
499	48001	48001
500	48098	47906
501	48177	47793
502	48257	47681
503	48336	47569
504	48414	47455
505	48494	47344
506	48581	47239
507	48657	47125
508	48737	47013
509	48817	46903
510	48900	46795
511	48978	46683
512	49058	46571
513	49168	46489
514	49244	46376
515	49321	46262
516	49398	46150
517	49476	46037
518	49558	45930
519	49653	45834
520	49734	45724
521	49811	45612
522	49887	45499
523	49965	45388
524	50042	45276
525	50121	45166
526	50232	45085
527	50311	44975
528	50392	44867
529	50468	44754
530	50543	44641
531	50622	44532
532	50727	44445
533	50851	44376
534	50976	44306
535	51099	44235
536	51239	44178
537	51365	44109
538	51488	44037
539	51616	43969
540	51737	43895
541	51865	43826
542	51988	43754
543	52120	43688
544	52294	43658
545	52388	43561
546	52468	43452
547	52545	43340
548	52622	43229
549	52701	43119
550	52779	43008
551	52861	42902
552	52940	42793
553	53019	42683
554	53098	42574
555	53177	42465
556	53255	42355
557	53365	42271
558	53444	42162
559	53531	42060
560	53610	41951
561	53688	41842
562	53772	41738
563	53850	41629
564	53929	41520
565	54006	41411
566	54085	41303
567	54163	41194
568	54240	41085
569	54356	41005
570	54437	40899
571	54518	40793
572	54599	40687
573	54679	40581
574	54760	40475
575	54846	40372
576	54965	40295
577	55082	40215
578	55199	40136
579	55314	40055
580	55452	39990
581	55569	39911
582	55685	39829
583	55805	39751
584	55956	39695
585	56075	39616
586	56191	39534
587	56312	39456
588	56488	39417
589	56620	39346
590	56766	39285
591	56917	39226
592	57000	39121
593	57078	39012
594	57156	38904
595	57236	38797
596	57318	38692
597	57396	38584
598	57490	38486
599	57572	38381
600	57650	38274
601	57731	38167
602	57807	38059
603	57885	37951
604	57964	37844
605	58046	37739
606	58127	37634
607	58206	37527
608	58285	37421
609	58368	37317
610	58450	37213
611	58566	37130
612	58645	37024
613	58724	36917
614	58803	36811
615	58882	36705
616	58959	36598
617	59041	36494
618	59145	36404
619	59264	36323
620	59384	36242
621	59506	36162
622	59671	36109
623	59794	36030
624	59914	35948
625	60042	35872
626	60165	35792
627	60292	35714
628	60418	35636
629	60550	35561
630	60736	35517
631	60908	35465
632	60988	35359
633	61067	35253
634	61165	35158
635	61243	35051
636	61320	34944
637	61400	34838
638	61479	34732
639	61558	34626
640	61637	34520
641	61744	34430
642	61821	34323
643	61897	34216
644	61976	34111
645	62057	34007
646	62139	33903
647	62226	33802
648	62305	33696
649	62383	33590
650	62464	33487
651	62543	33382
652	62623	33277
653	62704	33173
654	62817	33087
655	62899	32983
656	62978	32879
657	63054	32773
658	63131	32667
659	63210	32562
660	63291	32459
661	63412	32376
662	63538	32296
663	63663	32215
664	63860	32170
665	63986	32089
666	64110	32007
667	64235	31925
668	64362	31844
669	64487	31762
670	64613	31680
671	64746	31602
672	64922	31544
673	65112	31493
674	65190	31388
675	65269	31282
676	65349	31178
677	65430	31074
678	65512	30971
679	65591	30866
680	65668	30761
681	65745	30655
682	65822	30550
683	65902	30446
684	66012	30356
685	66095	30253
686	66175	30149
687	66255	30045
688	66333	29941
689	66414	29838
690	66503	29738
691	66581	29634
692	66658	29529
693	66739	29426
694	66818	29323
695	66898	29219
696	67012	29131
697	67093	29028
698	67172	28925
699	67253	28822
700	67330	28718
701	67408	28614
702	67494	28514
703	67572	28410
704	67683	28321
705	67803	28235
706	67924	28149
707	68083	28079
708	68205	27994
709	68322	27906
710	68440	27818
711	68564	27734
712	68688	27648
713	68814	27564
714	68934	27477
715	69067	27395
716	69243	27330
717	69329	27229
718	69413	27128
719	69495	27026
720	69579	26924
721	69661	26822
722	69742	26720
723	69822	26617
724	69908	26517
725	69988	26414
726	70069	26312
727	70204	26230
728	70283	26127
729	70364	26025
730	70456	25927
731	70551	25830
732	70644	25732
733	70742	25637
734	70839	25540
735	70935	25444
736	71033	25348
737	71112	25246
738	71258	25167
739	71336	25064
740	71417	24962
741	71496	24859
742	71575	24757
743	71656	24655
744	71749	24558
745	71831	24457
746	71907	24354
747	71984	24251
748	72062	24149
749	72137	24045
750	72261	23958
751	72410	23880
752	72534	23792
753	72658	23705
754	72780	23617
755	72906	23530
756	73025	23441
757	73149	23353
758	73271	23265
759	73433	23189
760	73581	23109
761	73685	23014
762	73764	22912
763	73845	22810
764	73924	22708
765	74004	22607
766	74084	22505
767	74164	22403
768	74244	22302
769	74322	22200
770	74444	22111
771	74523	22009
772	74602	21907
773	74682	21806
774	74762	21705
775	74846	21605
776	74929	21504
777	75010	21403
778	75086	21301
779	75167	21201
780	75243	21099
781	75320	20997
782	75396	20895
783	75528	20808
784	75609	20708
785	75687	20607
786	75766	20506
787	75844	20404
788	75921	20303
789	76005	20204
790	76084	20103
791	76165	20003
792	76243	19902
793	76320	19800
794	76398	19700
795	76475	19599
796	76621	19515
797	76739	19425
798	76860	19335
799	76979	19244
800	77112	19157
801	77237	19068
802	77359	18978
803	77481	18888
804	77674	18815
805	77799	18725
806	77925	18636
807	78072	18551
808	78258	18476
809	78339	18375
810	78419	18275
811	78500	18174
812	78579	18074
813	78659	17973
814	78776	17881
815	78854	17781
816	78933	17680
817	79012	17579
818	79095	17480
819	79180	17381
820	79263	17281
821	79343	17181
822	79421	17081
823	79499	16980
824	79578	16880
825	79657	16780
826	79780	16689
827	79862	16589
828	79939	16489
829	80017	16389
830	80095	16288
831	80172	16188
832	80259	16090
833	80347	15992
834	80429	15893
835	80508	15793
836	80589	15694
837	80670	15594
838	80752	15495
839	80879	15405
840	80996	15313
841	81115	15221
842	81236	15129
843	81360	15038
844	81481	14946
845	81606	14855
846	81730	14763
847	81871	14675
848	82004	14585
849	82133	14494
850	82269	14404
851	82421	14317
852	82499	14217
853	82579	14117
854	82657	14018
855	82736	13918
856	82817	13819
857	82895	13719
858	83046	13631
859	83127	13532
860	83207	13433
861	83288	13333
862	83369	13234
863	83458	13136
864	83543	13038
865	83622	12939
866	83701	12840
867	83780	12740
868	83856	12641
869	83933	12541
870	84056	12449
871	84135	12350
872	84214	12251
873	84294	12152
874	84373	12053
875	84450	11954
876	84531	11855
877	84609	11756
878	84688	11657
879	84768	11559
880	84845	11460
881	84923	11361
882	85000	11262
883	85140	11172
884	85258	11078
885	85381	10985
886	85498	10892
887	85621	10799
888	85739	10705
889	85856	10611
890	85977	10517
891	86102	10424
892	86331	10344
893	86457	10251
894	86578	10157
895	86716	10065
896	86882	9976
897	86966	9878
898	87042	9779
899	87122	9680
900	87203	9581
901	87340	9489
902	87423	9390
903	87502	9292
904	87583	9193
905	87661	9095
906	87741	8996
907	87844	8900
908	87923	8802
909	88002	8703
910	88080	8605
911	88157	8506
912	88235	8407
913	88405	8318
914	88485	8219
915	88563	8121
916	88641	8023
917	88718	7924
918	88797	7826
919	88878	7728
920	88959	7630
921	89035	7532
922	89112	7434
923	89188	7335
924	89283	7239
925	89457	7148
926	89578	7054
927	89700	6959
928	89817	6864
929	89940	6769
930	90058	6674
931	90182	6579
932	90305	6484
933	90431	6390
934	90611	6299
935	90758	6205
936	90872	6109
937	90955	6011
938	91040	5914
939	91118	5816
940	91194	5717
941	91271	5619
942	91349	5521
943	91428	5423
944	91507	5325
945	91636	5230
946	91714	5132
947	91794	5035
948	91873	4937
949	91952	4839
950	92030	4741
951	92112	4644
952	92192	4546
953	92274	4449
954	92352	4351
955	92429	4254
956	92507	4156
957	92648	4061
958	92745	3965
959	92823	3867
960	92902	3770
961	92979	3672
962	93057	3575
963	93144	3478
964	93244	3381
965	93322	3284
966	93401	3187
967	93481	3090
968	93585	2993
969	93815	2901
970	93937	2805
971	94062	2709
972	94187	2613
973	94315	2517
974	94446	2421
975	94569	2325
976	94696	2229
977	94850	2133
978	94979	2037
979	95104	1940
980	95240	1844
981	95433	1749
982	95511	1651
983	95591	1554
984	95671	1456
985	95751	1359
986	95830	1262
987	95966	1165
988	96044	1068
989	96122	970
990	96203	873
991	96285	776
992	96372	679
993	96454	582
994	96531	485
995	96608	387
996	96685	290
997	96761	193
998	96838	96
999	96981	0
