iter	Logloss
0	0.6868125577
1	0.6818782723
2	0.6747072107
3	0.6698757328
4	0.6664450912
5	0.6600948243
6	0.6523143105
7	0.6491723565
8	0.6447211329
9	0.6409026344
10	0.6348909776
11	0.6316330249
12	0.6266074726
13	0.6195568692
14	0.6154067461
15	0.60859904
16	0.5999937454
17	0.5963633604
18	0.5934804243
19	0.5905149629
20	0.583583286
21	0.5799070274
22	0.5726304228
23	0.5690972788
24	0.5657212792
25	0.563487861
26	0.5614599768
27	0.5590060554
28	0.5575697019
29	0.554917808
30	0.5507701115
31	0.5491863682
32	0.5464276067
33	0.5455029587
34	0.5399487242
35	0.5358551328
36	0.5342826627
37	0.5298441864
38	0.5280973915
39	0.5265125267
40	0.5249709918
41	0.5205256409
42	0.5183734825
43	0.5172983258
44	0.5156335587
45	0.5151148973
46	0.5083812512
47	0.5065100874
48	0.5035028584
49	0.4981231535
50	0.4967036807
51	0.4947699167
52	0.4938561706
53	0.48720047
54	0.4824497208
55	0.4817545548
56	0.4770675768
57	0.4737944201
58	0.4697116317
59	0.468513534
60	0.4648850598
61	0.4638386437
62	0.4601058288
63	0.4572083932
64	0.4513400501
65	0.450029674
66	0.4469099045
67	0.4427954712
68	0.4412053808
69	0.4402211295
70	0.4379671124
71	0.4348529923
72	0.4315030128
73	0.4292091609
74	0.4235254904
75	0.4202180433
76	0.4193296017
77	0.4185102382
78	0.4151033806
79	0.4144125078
80	0.4124357095
81	0.4102329668
82	0.4077725359
83	0.4071386349
84	0.4064853002
85	0.40447107
86	0.4039825754
87	0.4011859549
88	0.3982353295
89	0.395360666
90	0.391815313
91	0.3893699712
92	0.3873048322
93	0.3861227239
94	0.3822233694
95	0.3786876451
96	0.3780031634
97	0.3761077355
98	0.3758429097
99	0.3719212823
100	0.370241937
101	0.3684237572
102	0.366190249
103	0.3639303248
104	0.3636244219
105	0.3618371871
106	0.3601188331
107	0.3598084662
108	0.358479436
109	0.3549567075
110	0.3546160611
111	0.35300722
112	0.3501650436
113	0.3476917999
114	0.3471643523
115	0.3450335405
116	0.3439298469
117	0.3411824348
118	0.3389606984
119	0.3382529668
120	0.3364454334
121	0.3345405429
122	0.3325208761
123	0.3292360932
124	0.3281769145
125	0.3247746184
126	0.3222319068
127	0.3211428774
128	0.3183894688
129	0.315643427
130	0.3126157772
131	0.3106766557
132	0.3102647184
133	0.3093232851
134	0.3075072003
135	0.3061458594
136	0.3046039937
137	0.3035471576
138	0.3017025966
139	0.3004568958
140	0.3002831851
141	0.2980804277
142	0.2977559234
143	0.2974740755
144	0.2956965118
145	0.2948778577
146	0.2932231909
147	0.2909805354
148	0.2891242285
149	0.2877820866
150	0.2866195946
151	0.2859281545
152	0.284205925
153	0.2838298294
154	0.2813906441
155	0.2795985943
156	0.2770518298
157	0.2753977457
158	0.2738080516
159	0.2719823069
160	0.2691929567
161	0.2673064147
162	0.2654224679
163	0.2641226766
164	0.2625200163
165	0.2599099854
166	0.2585956752
167	0.2571663656
168	0.2543620707
169	0.2540942352
170	0.2532838621
171	0.2515475645
172	0.2496718995
173	0.2477903432
174	0.2455661682
175	0.2437758274
176	0.2420270915
177	0.2401356698
178	0.2399774116
179	0.2385815568
180	0.2379378256
181	0.2357057513
182	0.2334314187
183	0.2318329624
184	0.2308291471
185	0.2293381115
186	0.2271664845
187	0.2246671882
188	0.2228808108
189	0.2207081558
190	0.2194052604
191	0.2182777816
192	0.2178736013
193	0.216779377
194	0.2148839341
195	0.2137065609
196	0.2133954135
197	0.2111830495
198	0.2091711815
199	0.2073766272
200	0.2065882966
201	0.2054451801
202	0.2036949966
203	0.2023891922
204	0.2009049501
205	0.2004582587
206	0.1989326739
207	0.1970227013
208	0.1950663954
209	0.1936757271
210	0.1917468352
211	0.1902655429
212	0.1886225506
213	0.1872155542
214	0.18552539
215	0.1842472673
216	0.1831657091
217	0.1821054469
218	0.179746036
219	0.1782315784
220	0.1769081824
221	0.1760830916
222	0.1745535722
223	0.172902614
224	0.1717501616
225	0.1699763916
226	0.1682195892
227	0.1665992851
228	0.1650359739
229	0.1643375725
230	0.163073132
231	0.1615152678
232	0.1604727198
233	0.1593599558
234	0.1577597557
235	0.1568083463
236	0.1552840593
237	0.1537649935
238	0.1526317759
239	0.1513962529
240	0.1497935365
241	0.1486485788
242	0.147387342
243	0.1461996982
244	0.1451288233
245	0.1430516379
246	0.1417458093
247	0.1405783597
248	0.1398071052
249	0.1389035625
250	0.1377063768
251	0.1365355002
252	0.1357128633
253	0.1351120246
254	0.1334250611
255	0.1325979821
256	0.1314641415
257	0.1302720005
258	0.1293419525
259	0.1286774633
260	0.1275492973
261	0.1265438756
262	0.1254689733
263	0.1244529031
264	0.1234678997
265	0.1225713161
266	0.1216597371
267	0.1206439378
268	0.1200444936
269	0.1192292384
270	0.1186243012
271	0.1177728554
272	0.1170812186
273	0.1164715383
274	0.1156331318
275	0.1143362395
276	0.113193321
277	0.1127539462
278	0.1120862684
279	0.1111904691
