,Time,AX,AY,AZ,GX,GY,GZ
0,41865,-78,-992,-150,519,-196,42
1,41871,-69,-1003,-148,522,-192,33
2,41877,-76,-976,-141,521,-192,39
3,41883,-85,-967,-145,518,-198,39
4,41890,-68,-1009,-151,515,-195,33
5,41896,-79,-978,-135,518,-204,48
6,41902,-71,-983,-143,512,-198,39
7,41908,-71,-983,-131,512,-202,45
8,41915,-68,-989,-143,512,-201,42
9,41921,-68,-966,-133,512,-198,48
10,41927,-60,-991,-134,515,-193,43
11,41933,-83,-996,-123,521,-198,42
12,41940,-43,-1032,-24,512,-193,42
13,41946,-9,-1090,-70,522,-190,39
14,41952,-93,-1023,43,525,-199,34
15,41958,-61,-1175,-42,519,-193,15
16,41965,-27,-1229,111,527,-205,-12
17,41971,27,-1157,152,519,-210,-43
18,41977,-102,-1022,200,518,-195,-91
19,41983,-55,-947,294,503,-198,-127
20,41990,-61,-1033,445,492,-202,-171
21,41996,-5,-1071,542,452,-204,-217
22,42002,24,-1112,691,423,-195,-267
23,42008,108,-1013,673,381,-183,-310
24,42015,118,-856,673,332,-162,-346
25,42021,80,-759,565,290,-132,-367
26,42027,14,-577,376,263,-75,-378
27,42033,-236,-407,266,248,-24,-375
28,42040,-431,-408,244,233,8,-376
29,42046,-293,-377,339,239,11,-376
30,42052,-336,-377,320,243,6,-382
31,42058,-289,-428,266,263,-13,-373
32,42065,-99,-550,71,278,-39,-367
33,42071,-87,-815,-92,318,-69,-346
34,42077,478,-1937,163,356,-139,-321
35,42083,414,-1423,215,374,-198,-289
36,42090,306,-1279,228,422,-241,-217
37,42096,419,-1303,325,456,-249,-127
38,42102,694,-1446,757,450,-259,-69
39,42108,449,-1254,792,438,-253,-15
40,42115,203,-1186,571,449,-243,2
41,42121,109,-994,421,443,-250,3
42,42127,62,-956,183,447,-258,-3
43,42133,-9,-868,-44,444,-249,-6
44,42140,3,-902,-77,456,-246,-6
45,42146,16,-960,-131,450,-237,-18
46,42152,15,-1050,-145,452,-235,-9
47,42158,14,-1013,-94,450,-237,-13
48,42165,5,-938,-31,458,-234,-7
49,42171,53,-899,83,450,-229,-10
