,Time,AX,AY,AZ,GX,GY,GZ
148,4583,-565,536,-1490,173,-592,-426
149,4589,-585,725,-1441,144,-580,-442
150,4595,-638,1167,-1230,119,-547,-447
151,4602,-667,1828,-726,67,-519,-456
152,4608,-622,1997,-148,-2,-478,-415
153,4614,-181,1997,1182,-64,-423,-352
154,4620,108,1994,1997,-100,-379,-310
155,4627,161,1521,1998,-104,-363,-282
156,4633,230,1278,1992,-103,-357,-277
157,4639,52,1192,1313,-101,-355,-292
158,4645,30,1065,583,-94,-343,-309
159,4652,-65,944,38,-103,-342,-328
160,4658,-104,952,-189,-101,-346,-340
161,4664,-73,963,-276,-104,-339,-345
162,4670,696,1632,-601,-97,-336,-348
163,4677,-23,1036,125,-101,-337,-346
164,4683,-136,975,132,-106,-342,-337
165,4689,-15,990,45,-110,-349,-331
166,4695,8,992,49,-104,-348,-336
167,4702,19,997,63,-109,-346,-330
168,4708,1,988,38,-107,-343,-330
169,4714,19,985,61,-112,-355,-325
170,4720,0,984,29,-103,-339,-321
171,4727,0,995,34,-106,-340,-336
172,4733,0,988,34,-106,-349,-319
173,4739,0,985,34,-101,-351,-319
174,4745,2,993,33,-106,-346,-324
175,4752,10,990,31,-113,-346,-324
176,4758,6,987,27,-109,-351,-327
177,4764,10,992,35,-107,-351,-322
178,4770,0,994,18,-106,-345,-315
179,4777,20,992,33,-107,-348,-303
180,4783,7,984,28,-109,-346,-318
181,4789,9,985,26,-103,-352,-319
182,4795,0,987,26,-112,-355,-318
183,4802,0,992,29,-103,-351,-322
184,4808,5,990,24,-101,-346,-316
185,4814,2,994,24,-107,-352,-318
186,4820,5,979,17,-104,-354,-313
187,4827,14,992,24,-103,-349,-321
188,4833,9,987,21,-112,-346,-312
189,4839,4,991,22,-107,-345,-319
190,4845,5,987,25,-107,-351,-309
191,4852,8,991,27,-106,-351,-310
192,4858,7,985,17,-97,-339,-313
193,4864,8,986,21,-109,-346,-309
194,4870,7,992,21,-106,-349,-316
195,4877,12,977,20,-109,-352,-316
196,4883,22,1021,47,-109,-349,-306
197,4889,-88,1276,648,-106,-346,-306
198,4895,1,1368,1766,-107,-345,-306
199,4902,269,1524,1998,-107,-340,-319
200,4908,-16,1997,1998,-101,-364,-328
201,4914,-520,1997,1998,-65,-403,-394
202,4920,-1287,1997,1483,16,-459,-465
203,4927,-1212,1997,-125,140,-553,-477
204,4933,-1119,1997,-1789,248,-612,-454
205,4939,-1107,856,-1997,314,-648,-414
206,4945,-970,149,-1997,347,-663,-372
207,4952,-922,75,-1997,351,-663,-384
208,4958,-831,701,-1778,323,-649,-394
209,4964,-746,1401,-1104,272,-634,-433
210,4970,-578,1997,-413,212,-612,-451
211,4977,-334,1997,218,128,-565,-430
212,4983,-267,1997,729,52,-519,-420
213,4989,4,1997,1391,-19,-478,-369
214,4995,86,1997,1998,-59,-432,-343
215,5002,300,1688,1998,-88,-409,-312
216,5008,175,1269,1546,-88,-391,-310
217,5014,67,1113,1111,-94,-379,-301
218,5020,51,1002,698,-109,-373,-304
219,5027,-19,1043,439,-94,-372,-300
220,5033,-31,1047,189,-101,-357,-306
221,5039,-52,1044,130,-107,-348,-303
222,5045,491,1085,209,-98,-349,-309
223,5052,-132,942,50,-112,-348,-312
224,5058,-92,968,-71,-109,-354,-321
225,5064,3,987,38,-110,-357,-315
226,5070,16,993,3,-97,-354,-318
227,5077,5,981,11,-104,-355,-315
228,5083,21,996,15,-100,-349,-319
229,5089,26,980,6,-107,-358,-316
230,5095,29,989,16,-97,-355,-316
231,5102,15,985,0,-100,-355,-310
232,5108,29,993,9,-94,-355,-307
233,5114,24,987,3,-106,-354,-315
234,5120,20,991,1,-103,-358,-315
235,5127,26,979,1,-100,-357,-313
236,5133,19,992,0,-107,-358,-304
237,5139,22,993,9,-106,-363,-306
238,5145,23,983,0,-100,-351,-309
239,5152,22,991,0,-112,-358,-307
240,5158,24,984,-4,-95,-361,-309
241,5164,27,992,-3,-103,-352,-318
242,5170,25,988,-2,-103,-351,-303
243,5177,30,990,-4,-98,-351,-304
244,5183,16,992,-8,-103,-364,-306
245,5189,20,981,-8,-104,-355,-309
246,5195,23,990,-15,-107,-351,-307
247,5202,30,989,-2,-98,-355,-319
248,5208,20,988,-14,-101,-358,-303
249,5214,17,984,-14,-106,-348,-309
250,5220,27,989,0,-103,-360,-313
251,5227,25,981,3,-100,-351,-309
252,5233,38,1024,101,-104,-358,-297
253,5239,-295,1195,1147,-113,-349,-321
254,5245,76,1374,1998,-107,-339,-313
255,5252,153,1562,1998,-112,-351,-337
256,5258,46,1997,1998,-83,-363,-373
257,5264,-453,1997,1126,-37,-406,-442
258,5270,-577,1997,-75,37,-463,-483
259,5277,-721,1994,-698,110,-514,-507
260,5283,-367,1345,-957,159,-562,-498
261,5289,-387,1037,-1037,213,-583,-502
262,5295,-549,663,-1436,258,-603,-487
263,5302,-664,333,-1812,275,-615,-483
264,5308,-668,443,-1882,263,-603,-487
265,5314,-601,1062,-1630,215,-588,-499
266,5320,-458,1960,-901,149,-538,-505
267,5327,-327,1997,112,64,-490,-486
268,5333,-198,1997,1205,-14,-438,-450
269,5339,80,1997,1928,-56,-402,-381
270,5345,228,1757,1998,-92,-361,-336
271,5352,249,1357,1998,-107,-358,-313
272,5358,157,1062,1281,-107,-354,-309
273,5364,-20,1024,763,-103,-360,-304
274,5370,-159,891,398,-100,-360,-316
275,5377,-289,873,99,-101,-357,-316
276,5383,508,1683,-253,-98,-348,-325
277,5389,-67,1003,103,-100,-352,-316
278,5395,-145,989,-10,-106,-354,-315
279,5402,16,996,25,-103,-360,-312
280,5408,-1,987,-40,-101,-346,-315
281,5414,21,1012,17,-106,-352,-312
282,5420,21,993,30,-104,-352,-310
283,5427,5,998,5,-103,-346,-307
284,5433,41,977,-7,-110,-346,-298
285,5439,-13,992,-12,-115,-343,-303
286,5445,-27,963,-7,-101,-336,-303
287,5452,-7,993,-31,-106,-345,-297
288,5458,-5,987,-48,-110,-346,-280
289,5464,-11,977,-26,-115,-340,-298
290,5470,-2,982,-31,-113,-340,-291
291,5477,19,1000,-19,-116,-345,-294
292,5483,1,993,-39,-107,-342,-300
293,5489,-7,984,-33,-103,-342,-301
294,5495,2,979,-13,-107,-345,-303
295,5502,-8,992,-35,-106,-355,-292
296,5508,0,985,-13,-115,-351,-300
297,5514,13,988,5,-119,-349,-298
298,5520,23,996,-8,-109,-349,-294
299,5527,17,992,-8,-103,-354,-301
300,5533,16,990,0,-103,-349,-297
301,5539,19,987,-16,-110,-352,-298
302,5545,14,993,-18,-115,-355,-298
303,5552,-2,979,-12,-109,-351,-295
304,5558,11,946,-3,-107,-361,-298
305,5564,20,991,1,-109,-358,-292
306,5570,25,995,-5,-107,-348,-294
307,5577,10,982,-26,-109,-360,-294
308,5583,17,988,-25,-104,-354,-297
309,5589,23,989,-22,-107,-358,-300
310,5595,15,981,-16,-104,-354,-298
311,5602,20,986,-14,-104,-357,-289
312,5608,44,986,-3,-109,-360,-292
313,5614,38,981,-10,-98,-355,-298
314,5620,45,989,-9,-97,-360,-294
315,5627,48,991,-12,-98,-370,-291
316,5633,49,989,-7,-104,-369,-292
317,5639,51,1011,-7,-103,-373,-292
318,5645,45,966,-4,-97,-369,-295
319,5652,49,980,-8,-100,-361,-295
320,5658,42,989,-3,-103,-366,-288
321,5664,47,986,-13,-107,-366,-301
