,Time,AX,AY,AZ,GX,GY,GZ
0,62941,87,984,29,-94,-388,-324
1,62947,104,983,27,-85,-385,-324
2,62953,81,986,29,-97,-385,-327
3,62960,89,984,28,-94,-378,-328
4,62966,73,986,28,-88,-379,-325
5,62972,91,984,29,-92,-384,-325
6,62978,102,983,25,-88,-381,-336
7,62985,107,981,32,-91,-387,-324
8,62991,88,991,19,-94,-388,-327
9,62997,40,999,32,-88,-385,-328
10,63003,94,983,31,-85,-381,-325
11,63010,96,984,35,-83,-385,-319
12,63016,95,982,28,-85,-385,-325
13,63022,113,997,30,-91,-382,-330
14,63028,25,993,24,-94,-393,-330
15,63035,58,988,31,-89,-384,-322
16,63041,76,983,34,-95,-384,-316
17,63047,74,994,38,-91,-382,-324
18,63053,93,987,42,-89,-375,-324
19,63060,94,1008,35,-91,-373,-319
20,63066,107,1009,20,-91,-376,-324
21,63072,118,992,8,-91,-375,-325
22,63078,108,993,13,-88,-381,-330
23,63085,103,978,15,-97,-370,-324
24,63091,77,961,18,-95,-376,-327
25,63097,58,953,15,-92,-376,-328
26,63103,32,950,29,-97,-381,-321
27,63110,55,967,32,-97,-378,-319
28,63116,84,993,29,-103,-384,-322
29,63122,82,986,27,-91,-379,-319
30,63128,73,986,31,-89,-387,-319
31,63135,70,998,34,-91,-376,-324
32,63141,90,996,25,-98,-375,-318
33,63147,83,991,21,-98,-378,-325
34,63153,72,987,8,-98,-370,-325
35,63160,71,1001,25,-94,-376,-322
36,63166,65,969,41,-97,-384,-321
37,63172,70,982,80,-97,-375,-322
38,63178,59,998,113,-88,-375,-315
39,63185,88,1005,159,-97,-379,-322
40,63191,95,1009,175,-94,-372,-331
41,63197,108,1000,162,-94,-373,-334
42,63203,109,1016,155,-97,-369,-334
43,63210,120,990,122,-89,-372,-342
44,63216,88,994,86,-85,-376,-354
45,63222,68,970,43,-88,-378,-351
46,63228,46,963,-4,-77,-379,-357
47,63235,29,952,-50,-82,-384,-355
48,63241,17,965,-94,-80,-385,-372
49,63247,-2,959,-159,-76,-384,-367
50,63253,13,966,-206,-77,-378,-385
51,63260,-1,1013,-237,-77,-376,-367
52,63266,10,1042,-280,-91,-372,-363
53,63272,25,1063,-318,-95,-369,-364
54,63278,87,1127,-271,-92,-361,-354
55,63285,-118,682,275,-103,-355,-325
56,63291,-9,1037,30,-101,-354,-327
57,63297,25,983,263,-98,-348,-319
58,63303,11,951,433,-100,-354,-309
59,63310,47,965,448,-103,-351,-306
60,63316,77,981,387,-98,-346,-301
61,63322,87,993,277,-100,-342,-301
62,63328,93,1008,180,-107,-345,-310
