,Time,AX,AY,AZ,GX,GY,GZ
0,44884,75,982,-15,-112,-361,-327
1,44891,77,985,-20,-109,-369,-325
2,44897,68,986,-15,-100,-375,-322
3,44903,69,982,-16,-107,-372,-313
4,44909,72,985,-20,-106,-369,-322
5,44916,71,983,-14,-110,-360,-316
6,44922,76,984,-17,-101,-370,-322
7,44928,77,987,-16,-103,-366,-315
8,44934,79,987,-13,-103,-367,-319
9,44941,78,993,-11,-103,-370,-324
10,44947,65,1000,-1,-97,-364,-336
11,44953,31,992,9,-104,-364,-328
12,44959,34,996,9,-106,-361,-333
13,44966,65,959,0,-98,-364,-330
14,44972,53,990,0,-101,-360,-325
15,44978,90,995,-22,-103,-366,-318
16,44984,88,1025,-63,-103,-364,-328
17,44991,109,1004,-50,-104,-363,-331
18,44997,82,978,-36,-101,-366,-318
19,45003,105,967,-21,-113,-369,-307
20,45009,86,975,4,-101,-369,-309
21,45016,62,962,6,-113,-367,-297
22,45022,45,963,-15,-107,-373,-306
23,45028,41,974,-48,-112,-369,-303
24,45034,57,976,-50,-107,-378,-298
25,45041,55,984,-34,-112,-372,-291
26,45047,45,977,-37,-109,-363,-292
27,45053,63,971,-36,-112,-375,-291
28,45059,65,989,-29,-109,-373,-292
29,45066,75,991,-35,-104,-370,-285
30,45072,86,993,-19,-103,-363,-292
31,45078,76,981,-3,-106,-372,-286
32,45084,82,987,18,-104,-375,-300
33,45091,72,1002,30,-104,-363,-291
34,45097,83,998,75,-107,-369,-298
35,45103,112,1021,108,-106,-373,-294
36,45109,107,1006,114,-106,-369,-304
37,45116,111,1017,104,-107,-378,-304
38,45122,92,1025,83,-116,-373,-309
39,45128,95,1003,62,-98,-366,-313
40,45134,74,990,20,-89,-381,-319
41,45141,51,975,-43,-95,-387,-327
42,45147,26,964,-101,-95,-384,-340
43,45153,7,937,-181,-95,-388,-346
44,45159,-9,923,-245,-95,-375,-342
45,45166,-6,945,-311,-91,-381,-357
46,45172,2,974,-388,-91,-384,-343
47,45178,6,1011,-469,-95,-388,-348
48,45184,47,1040,-572,-98,-381,-333
49,45191,55,1098,-534,-106,-366,-325
50,45197,37,1145,-314,-113,-369,-297
51,45203,26,947,-1,-100,-358,-285
52,45209,69,1039,329,-118,-367,-274
53,45216,84,1033,430,-113,-360,-246
54,45222,106,1007,458,-113,-358,-250
55,45228,91,999,386,-110,-355,-256
56,45234,101,1027,333,-109,-363,-259
57,45241,58,1017,247,-113,-357,-267
58,45247,54,1003,145,-110,-352,-274
59,45253,13,979,53,-112,-354,-298
60,45259,-7,972,-37,-109,-354,-307
61,45266,-31,965,-95,-103,-352,-321
62,45272,-43,952,-143,-109,-364,-337
63,45278,-61,937,-188,-110,-354,-343
64,45284,-86,990,-190,-118,-343,-348
65,45291,362,1088,-554,-100,-349,-340
66,45297,-108,960,-29,-103,-351,-336
67,45303,82,1001,40,-115,-352,-342
68,45309,35,989,27,-109,-361,-334
69,45316,35,983,8,-112,-354,-334
70,45322,48,985,20,-109,-354,-331
71,45328,32,978,18,-116,-357,-328
72,45334,21,985,0,-113,-357,-312
73,45341,18,998,-3,-112,-348,-313
74,45347,22,985,3,-115,-358,-315
75,45353,23,985,-2,-124,-354,-312
76,45359,11,992,-10,-118,-352,-313
77,45366,27,989,-11,-119,-364,-312
78,45372,27,984,-10,-112,-351,-324
79,45378,35,988,-15,-109,-355,-324
80,45384,31,992,-17,-113,-349,-318
81,45391,33,989,-11,-116,-361,-309
82,45397,30,983,-7,-118,-357,-318
83,45403,32,982,-3,-110,-363,-318
84,45409,43,984,5,-119,-369,-319
85,45416,53,986,-1,-109,-363,-325
86,45422,59,982,8,-104,-363,-328
87,45428,75,988,26,-106,-378,-321
88,45434,106,989,6,-109,-379,-327
89,45441,94,983,14,-100,-378,-331
90,45447,108,973,25,-103,-390,-336
91,45453,98,985,24,-91,-385,-328
92,45459,94,981,30,-101,-390,-333
93,45466,76,980,36,-95,-382,-328
94,45472,97,974,36,-104,-378,-316
95,45478,93,990,13,-97,-388,-319
96,45484,85,974,34,-100,-388,-310
97,45491,101,982,13,-101,-391,-315
98,45497,91,986,15,-104,-394,-306
99,45503,89,982,16,-101,-394,-298
100,45509,93,983,10,-100,-397,-298
101,45516,101,983,0,-94,-396,-306
102,45522,102,983,-2,-97,-402,-298
103,45528,113,979,-3,-89,-394,-298
104,45534,105,981,7,-100,-402,-300
105,45541,112,982,-1,-95,-400,-301
106,45547,119,981,-5,-89,-397,-300
107,45553,122,979,0,-91,-408,-303
108,45559,131,982,0,-89,-411,-294
109,45566,139,975,12,-88,-415,-301
110,45572,136,981,4,-91,-418,-309
111,45578,147,972,1,-82,-412,-303
112,45584,137,984,-7,-85,-409,-291
113,45591,151,976,-17,-83,-411,-294
114,45597,164,973,-26,-86,-414,-279
115,45603,164,974,-29,-80,-420,-279
116,45609,175,966,-46,-80,-426,-288
117,45616,175,970,-50,-92,-427,-282
118,45622,172,972,-66,-85,-418,-273
119,45628,173,968,-74,-88,-427,-271
120,45634,176,963,-81,-85,-421,-270
121,45641,170,969,-88,-85,-432,-264
122,45647,171,966,-87,-79,-423,-264
123,45653,172,965,-90,-92,-421,-256
124,45659,168,965,-102,-82,-426,-255
125,45666,167,969,-107,-91,-430,-252
126,45672,170,965,-108,-91,-423,-258
127,45678,172,966,-105,-82,-421,-261
128,45684,178,961,-88,-85,-426,-256
129,45691,174,965,-76,-76,-423,-262
130,45697,170,965,-91,-85,-418,-265
131,45703,154,974,-75,-89,-415,-264
132,45709,151,975,-75,-89,-411,-268
133,45716,156,964,-72,-91,-414,-271
134,45722,156,965,-87,-97,-411,-264
135,45728,147,981,-92,-85,-411,-271
136,45734,137,974,-53,-94,-415,-270
137,45741,142,972,-70,-97,-406,-277
138,45747,136,974,-61,-94,-405,-283
139,45753,128,969,-57,-101,-402,-291
140,45759,122,979,-63,-97,-402,-285
141,45766,103,995,-64,-95,-393,-286
142,45772,94,1024,-4,-100,-391,-286
143,45778,74,996,-27,-97,-397,-288
144,45784,83,974,-73,-101,-399,-279
145,45791,122,976,-87,-103,-396,-280
146,45797,103,981,-64,-106,-396,-283
147,45803,114,985,-63,-107,-385,-288
148,45809,109,940,-27,-98,-382,-298
149,45816,70,956,-2,-112,-382,-301
150,45822,49,1059,-56,-107,-385,-303
151,45828,-4,985,-60,-100,-390,-318
152,45834,13,1003,-71,-103,-381,-316
153,45841,74,992,-44,-103,-378,-312
154,45847,123,954,5,-107,-372,-310
155,45853,116,994,18,-98,-357,-321
156,45859,135,927,25,-107,-363,-319
157,45866,102,955,7,-107,-370,-315
158,45872,78,969,-10,-106,-366,-315
159,45878,77,1010,-13,-107,-369,-312
160,45884,119,1015,-13,-98,-367,-310
161,45891,115,997,-33,-100,-373,-315
162,45897,81,1022,-24,-103,-372,-306
163,45903,62,964,-27,-106,-375,-312
164,45909,21,951,8,-100,-375,-304
165,45916,25,958,19,-109,-381,-306
166,45922,40,959,-2,-101,-381,-301
167,45928,65,988,0,-104,-387,-298
168,45934,80,997,-14,-103,-375,-301
169,45941,70,1002,-25,-109,-372,-294
170,45947,57,987,-40,-109,-379,-298
171,45953,70,988,-42,-104,-382,-285
172,45959,62,988,-34,-107,-370,-286
173,45966,77,971,-31,-101,-375,-291
174,45972,82,975,-22,-110,-370,-298
175,45978,82,995,-20,-113,-373,-289
176,45984,71,1004,0,-103,-378,-295
177,45991,68,992,30,-110,-367,-291
178,45997,77,1006,102,-110,-361,-300
179,46003,67,1012,150,-101,-372,-307
180,46009,79,1007,175,-97,-366,-300
181,46016,72,1006,142,-101,-367,-304
182,46022,84,1014,119,-107,-378,-312
183,46028,66,1004,64,-100,-378,-312
184,46034,72,998,8,-107,-373,-327
185,46041,57,979,-51,-97,-384,-330
186,46047,36,961,-130,-92,-382,-334
187,46053,21,957,-200,-101,-390,-346
188,46059,24,942,-285,-86,-384,-355
189,46066,29,971,-360,-98,-375,-358
190,46072,9,1002,-453,-94,-382,-352
191,46078,-5,1051,-531,-89,-370,-349
192,46084,-7,1070,-548,-101,-372,-343
193,46091,5,1111,-404,-109,-360,-316
194,46097,247,860,-136,-118,-361,-297
195,46103,25,1011,269,-112,-348,-291
196,46109,96,1041,443,-110,-352,-277
197,46116,112,1032,486,-107,-351,-264
198,46122,102,1023,407,-113,-360,-270
199,46128,94,1022,304,-112,-355,-270
200,46134,59,1002,172,-113,-357,-274
201,46141,27,1000,106,-115,-360,-273
202,46147,-38,949,-21,-112,-360,-280
203,46153,-35,955,-47,-115,-360,-300
204,46159,-33,984,-82,-112,-367,-303
