,Time,AX,AY,AZ,GX,GY,GZ
0,37920,44,984,0,-112,-366,-315
1,37926,47,998,-3,-115,-361,-313
2,37932,37,983,-8,-104,-369,-312
3,37939,36,985,-12,-110,-367,-309
4,37945,41,986,-13,-112,-369,-310
5,37951,44,987,-12,-113,-366,-318
6,37957,45,989,-10,-112,-369,-312
7,37964,35,986,-13,-119,-369,-315
8,37970,47,984,-5,-110,-367,-324
9,37976,40,994,-5,-109,-364,-318
10,37982,42,992,0,-106,-369,-312
11,37989,51,1003,-1,-115,-372,-324
12,37995,42,990,6,-122,-366,-324
13,38001,72,989,14,-118,-375,-331
14,38007,26,985,0,-109,-366,-331
15,38014,56,990,11,-112,-366,-333
16,38020,-8,982,15,-112,-372,-330
17,38026,47,1001,9,-112,-375,-340
18,38032,20,989,19,-110,-373,-331
19,38039,47,999,9,-106,-366,-330
20,38045,63,1003,-2,-106,-378,-337
21,38051,77,1019,-16,-109,-364,-334
22,38057,87,1023,8,-112,-363,-328
23,38064,82,996,48,-116,-372,-324
24,38070,54,988,35,-107,-372,-328
25,38076,32,956,25,-115,-372,-331
26,38082,37,964,15,-110,-375,-324
27,38089,6,940,-12,-113,-370,-336
28,38095,5,953,-15,-118,-376,-328
29,38101,27,975,5,-113,-370,-336
30,38107,41,994,3,-109,-372,-330
31,38114,58,989,-9,-110,-370,-334
32,38120,62,986,-14,-115,-373,-334
33,38126,63,995,-3,-110,-373,-330
34,38132,59,992,16,-106,-357,-334
35,38139,40,983,20,-112,-363,-328
36,38145,46,985,16,-112,-360,-331
37,38151,49,983,10,-109,-361,-330
38,38157,49,1000,-12,-107,-361,-327
39,38164,50,983,10,-112,-366,-318
40,38170,47,995,64,-118,-358,-328
41,38176,49,1000,117,-116,-364,-321
42,38182,50,999,165,-104,-360,-333
43,38189,61,1029,217,-121,-357,-331
44,38195,70,1019,232,-109,-364,-340
45,38201,85,1000,224,-113,-363,-334
46,38207,68,1033,208,-95,-366,-355
47,38214,60,1025,164,-103,-379,-354
48,38220,26,989,63,-95,-379,-363
49,38226,18,964,-35,-91,-376,-379
50,38232,20,956,-122,-86,-384,-387
51,38239,4,956,-188,-70,-379,-376
52,38245,6,933,-250,-79,-378,-387
53,38251,2,941,-321,-82,-390,-393
54,38257,-15,984,-384,-79,-381,-387
55,38264,-55,1020,-480,-86,-387,-376
56,38270,-93,1044,-557,-98,-385,-369
57,38276,-75,1103,-606,-101,-369,-345
58,38282,-28,1234,-389,-127,-357,-309
59,38289,-42,1128,-107,-127,-345,-306
60,38295,-14,1087,367,-128,-339,-277
61,38301,89,1085,545,-131,-339,-252
62,38307,85,1060,538,-142,-324,-237
63,38314,156,1050,476,-140,-324,-229
64,38320,93,1031,374,-137,-325,-241
65,38326,93,1025,267,-140,-331,-243
66,38332,20,1041,186,-127,-339,-256
67,38339,20,1028,122,-136,-345,-274
68,38345,-20,1030,33,-115,-345,-291
69,38351,-16,998,-60,-124,-355,-312
70,38357,-44,990,-144,-121,-361,-325
71,38364,-33,993,-203,-115,-364,-336
72,38370,-44,983,-245,-109,-360,-351
73,38376,-38,942,-259,-107,-358,-363
74,38382,-25,931,-230,-100,-366,-358
75,38389,-38,922,-249,-100,-361,-366
76,38395,-54,932,-235,-100,-360,-369
77,38401,-83,982,-164,-110,-352,-363
78,38407,-97,1033,-47,-109,-346,-346
79,38414,-120,902,158,-110,-349,-354
80,38420,-115,1007,80,-116,-354,-351
81,38426,1,1005,0,-112,-355,-342
82,38432,10,978,-2,-119,-352,-334
83,38439,8,993,28,-113,-351,-337
84,38445,7,981,26,-116,-355,-342
85,38451,6,992,16,-116,-346,-339
86,38457,5,979,30,-116,-348,-339
87,38464,13,978,17,-122,-352,-343
88,38470,-13,1001,0,-116,-348,-330
89,38476,-2,996,19,-121,-348,-334
90,38482,3,974,17,-113,-360,-333
91,38489,-5,991,16,-118,-349,-325
92,38495,-2,990,10,-115,-351,-328
93,38501,-3,990,13,-115,-349,-319
94,38507,-4,983,17,-110,-346,-331
95,38514,1,997,8,-118,-355,-333
96,38520,0,991,17,-124,-346,-322
97,38526,-1,983,11,-125,-349,-334
98,38532,-1,986,18,-112,-351,-324
99,38539,-2,981,7,-121,-352,-330
100,38545,10,943,-5,-113,-343,-334
101,38551,-5,1010,12,-119,-345,-327
102,38557,11,993,-2,-124,-351,-336
103,38564,0,1004,6,-121,-343,-324
104,38570,-24,1007,57,-116,-354,-339
105,38576,25,988,29,-122,-349,-331
106,38582,24,968,-1,-122,-360,-319
107,38589,15,1003,-60,-116,-367,-288
108,38595,45,976,-93,-118,-373,-279
109,38601,54,981,-85,-112,-379,-274
110,38607,71,978,-103,-118,-388,-250
111,38614,68,961,-142,-112,-385,-247
112,38620,69,958,-171,-109,-387,-235
113,38626,72,985,-155,-109,-400,-232
114,38632,96,973,-158,-103,-397,-237
115,38639,112,949,-140,-109,-399,-232
116,38645,105,954,-158,-95,-396,-219
117,38651,94,962,-187,-107,-400,-223
118,38657,89,977,-160,-98,-403,-228
119,38664,88,961,-139,-104,-397,-234
120,38670,80,966,-155,-104,-394,-223
121,38676,64,969,-197,-104,-394,-211
122,38682,76,972,-183,-112,-385,-216
123,38689,86,972,-140,-91,-402,-228
124,38695,81,967,-144,-98,-405,-219
125,38701,77,964,-170,-100,-393,-222
126,38707,83,966,-159,-109,-396,-229
127,38714,88,963,-153,-107,-393,-226
128,38720,87,970,-166,-109,-400,-226
129,38726,88,970,-171,-104,-406,-237
130,38732,96,964,-144,-104,-397,-244
131,38739,97,962,-106,-101,-399,-255
132,38745,97,976,-137,-106,-406,-264
133,38751,131,993,-149,-106,-397,-280
134,38757,100,984,-17,-106,-387,-300
135,38764,73,979,30,-106,-388,-324
136,38770,86,985,62,-104,-385,-333
137,38776,121,888,49,-109,-381,-324
138,38782,201,967,-37,-106,-384,-313
139,38789,128,873,-32,-104,-382,-313
140,38795,-44,1055,-119,-103,-390,-336
141,38801,-209,1086,-62,-107,-379,-312
142,38807,497,1131,-146,-110,-379,-297
143,38814,-109,869,-125,-116,-372,-319
144,38820,204,897,25,-116,-369,-334
145,38826,84,975,107,-115,-354,-339
146,38832,106,949,29,-118,-360,-342
147,38839,-57,902,-107,-119,-363,-327
148,38845,14,1056,106,-107,-375,-306
149,38851,52,975,-52,-115,-378,-294
150,38857,31,984,-41,-107,-376,-304
151,38864,122,974,-42,-113,-384,-309
152,38870,94,970,-26,-107,-379,-306
153,38876,101,994,-33,-112,-372,-318
154,38882,68,975,-38,-103,-384,-325
155,38889,29,1003,36,-101,-381,-336
156,38895,23,1005,-49,-107,-382,-334
157,38901,27,985,-5,-101,-382,-334
158,38907,9,943,-34,-109,-381,-340
159,38914,62,967,-58,-112,-372,-334
160,38920,88,981,-24,-101,-373,-336
161,38926,79,979,-37,-110,-370,-327
162,38932,53,962,-5,-116,-373,-328
163,38939,35,961,4,-110,-366,-324
164,38945,159,993,71,-104,-372,-324
165,38951,94,1010,54,-112,-367,-337
166,38957,62,985,-7,-118,-367,-339
167,38964,41,993,-43,-113,-378,-330
168,38970,23,977,-67,-112,-382,-324
169,38976,6,948,-55,-109,-375,-327
170,38982,27,969,-26,-118,-370,-324
171,38989,65,993,0,-112,-369,-321
172,38995,98,998,24,-119,-361,-321
173,39001,75,1010,26,-115,-363,-316
174,39007,45,1011,67,-113,-366,-324
175,39014,40,1007,98,-106,-370,-312
176,39020,45,1007,174,-106,-372,-324
177,39026,74,1008,201,-116,-370,-324
178,39032,70,1013,207,-109,-373,-321
179,39039,100,1013,185,-106,-378,-333
180,39045,99,1021,140,-97,-384,-343
181,39051,94,1028,51,-104,-381,-343
182,39057,76,1002,-14,-95,-385,-355
183,39064,50,985,-99,-88,-387,-357
184,39070,21,938,-189,-76,-400,-364
185,39076,9,914,-257,-74,-397,-384
186,39082,7,920,-323,-76,-396,-384
187,39089,-5,967,-388,-71,-394,-381
188,39095,-21,984,-462,-83,-388,-379
189,39101,-82,1017,-582,-83,-385,-375
190,39107,-129,1084,-727,-92,-379,-370
191,39114,-63,1223,-595,-112,-373,-334
192,39120,132,1298,-29,-118,-366,-291
193,39126,241,1132,467,-124,-351,-285
194,39132,174,1095,642,-128,-346,-255
195,39139,143,1020,580,-130,-354,-253
196,39145,114,1011,473,-130,-348,-241
197,39151,109,1015,349,-127,-348,-246
198,39157,83,1009,226,-122,-339,-267
199,39164,55,1021,111,-128,-352,-271
200,39170,50,1000,44,-116,-364,-286
201,39176,35,1014,4,-118,-360,-297
202,39182,9,990,-69,-115,-364,-312
203,39189,-17,991,-127,-106,-379,-325
204,39195,-11,956,-193,-112,-369,-330
205,39201,-33,942,-245,-104,-376,-343
206,39207,-37,898,-268,-98,-379,-343
207,39214,-73,876,-237,-97,-379,-351
208,39220,-83,947,-139,-97,-363,-343
209,39226,-121,993,-80,-106,-375,-342
210,39232,-90,1007,-20,-112,-355,-348
211,39239,94,667,25,-107,-360,-327
212,39245,-154,940,46,-115,-376,-319
213,39251,32,986,-11,-115,-367,-319
214,39257,35,987,0,-113,-367,-333
215,39264,26,999,-13,-112,-364,-321
216,39270,34,994,-7,-115,-361,-310
217,39276,19,995,-36,-115,-363,-318
218,39282,24,979,-7,-113,-361,-315
219,39289,10,984,-10,-107,-358,-318
220,39295,23,978,-13,-118,-364,-316
221,39301,28,981,-14,-109,-363,-312
222,39307,30,989,-28,-116,-363,-313
223,39314,24,988,-34,-115,-361,-313
224,39320,43,984,-38,-115,-372,-303
225,39326,11,990,-44,-119,-363,-313
226,39332,60,979,-48,-115,-372,-303
227,39339,33,991,-44,-122,-375,-301
228,39345,62,978,-57,-109,-376,-295
229,39351,71,984,-73,-110,-375,-294
230,39357,86,973,-63,-110,-390,-295
231,39364,91,976,-118,-100,-403,-283
232,39370,118,977,-87,-107,-397,-291
233,39376,143,978,-63,-100,-403,-280
234,39382,148,963,-126,-89,-414,-282
235,39389,161,972,-111,-91,-423,-279
236,39395,195,939,-118,-77,-426,-280
237,39401,185,963,-102,-83,-423,-288
238,39407,171,980,-103,-85,-427,-280
239,39414,181,964,-97,-79,-426,-286
240,39420,171,966,-93,-82,-424,-279
241,39426,168,953,-95,-86,-426,-283
242,39432,154,963,-123,-91,-423,-276
243,39439,165,961,-112,-94,-423,-280
244,39445,150,972,-106,-88,-415,-277
245,39451,153,969,-95,-94,-424,-282
246,39457,153,964,-96,-85,-412,-282
247,39464,143,975,-88,-97,-414,-283
248,39470,138,974,-95,-92,-415,-288
249,39476,143,971,-92,-95,-412,-280
250,39482,145,969,-95,-100,-412,-279
251,39489,145,970,-94,-103,-412,-285
252,39495,138,972,-91,-101,-417,-280
253,39501,141,971,-97,-92,-403,-291
254,39507,137,973,-86,-86,-408,-282
255,39514,132,974,-79,-97,-402,-291
256,39520,122,974,-88,-95,-402,-283
257,39526,107,980,-73,-103,-397,-286
258,39532,90,977,-72,-100,-400,-285
259,39539,104,983,-80,-112,-397,-289
260,39545,63,991,-55,-115,-394,-285
261,39551,71,985,-79,-107,-391,-288
262,39557,62,978,-65,-107,-388,-294
263,39564,123,971,0,-116,-384,-288
264,39570,67,979,-44,-106,-378,-300
265,39576,45,1015,-54,-115,-375,-295
266,39582,-5,950,-94,-113,-390,-297
267,39589,100,955,-55,-106,-375,-289
268,39595,56,996,22,-110,-385,-286
269,39601,56,989,-49,-109,-388,-294
270,39607,78,1002,14,-113,-378,-301
271,39614,24,1015,-62,-100,-376,-300
272,39620,-128,975,-160,-112,-382,-303
273,39626,321,983,-22,-107,-384,-315
274,39632,40,1016,-122,-118,-379,-309
275,39639,65,932,-74,-109,-376,-303
276,39645,117,959,63,-125,-379,-298
277,39651,124,1007,194,-107,-379,-309
278,39657,3,992,-18,-113,-385,-292
279,39664,71,989,-43,-106,-385,-294
280,39670,31,987,-29,-109,-378,-298
281,39676,12,978,-41,-115,-382,-298
282,39682,254,974,-54,-107,-379,-303
283,39689,85,962,-35,-107,-379,-306
284,39695,60,1001,-59,-109,-384,-301
285,39701,62,983,-32,-109,-376,-303
286,39707,27,985,-23,-116,-376,-318
287,39714,62,980,-22,-112,-378,-319
288,39720,49,977,-36,-115,-376,-309
289,39726,98,985,-28,-107,-378,-312
290,39732,82,966,-43,-101,-375,-310
291,39739,86,982,-35,-112,-381,-319
292,39745,82,985,-35,-106,-381,-313
293,39751,56,996,-27,-101,-382,-319
294,39757,84,981,-19,-112,-372,-315
295,39764,52,1009,-22,-109,-372,-325
296,39770,18,1005,-29,-118,-381,-318
297,39776,206,1014,-38,-101,-370,-315
298,39782,15,964,-42,-119,-381,-321
299,39789,68,978,-29,-109,-370,-325
300,39795,83,981,-21,-113,-370,-324
301,39801,77,1004,-38,-115,-366,-313
302,39807,74,993,-30,-118,-367,-312
303,39814,68,996,-28,-116,-369,-313
304,39820,49,972,-58,-107,-375,-313
305,39826,16,959,-61,-113,-376,-307
306,39832,7,932,-59,-113,-370,-309
307,39839,46,982,-42,-113,-372,-316
308,39845,61,988,-18,-115,-370,-315
309,39851,86,1004,-20,-121,-367,-304
310,39857,67,992,-24,-115,-372,-306
311,39864,83,999,-20,-110,-370,-298
312,39870,52,998,-12,-112,-370,-307
313,39876,36,987,8,-115,-373,-306
314,39882,22,988,33,-115,-375,-304
315,39889,25,974,74,-122,-366,-303
316,39895,42,1002,107,-116,-372,-303
317,39901,90,1004,138,-103,-363,-309
318,39907,98,1024,132,-118,-369,-321
319,39914,119,1024,103,-116,-372,-331
320,39920,98,1022,78,-112,-370,-328
321,39926,66,1021,38,-94,-384,-342
322,39932,36,978,-12,-106,-384,-346
323,39939,11,970,-73,-85,-379,-352
324,39945,-6,951,-144,-82,-390,-351
325,39951,-11,934,-230,-89,-385,-361
326,39957,-1,948,-298,-88,-390,-360
327,39964,-3,960,-382,-79,-376,-360
328,39970,6,1012,-474,-85,-382,-363
329,39976,12,1098,-564,-83,-381,-361
330,39982,-27,1071,-596,-100,-361,-345
331,39989,-24,1135,-346,-112,-370,-325
332,39995,0,1044,34,-119,-363,-295
333,40001,67,1067,315,-134,-352,-274
334,40007,130,1001,466,-125,-349,-253
335,40014,73,1014,410,-124,-346,-247
336,40020,105,1014,346,-124,-342,-253
337,40026,73,1012,259,-122,-342,-255
338,40032,100,1022,228,-136,-342,-267
339,40039,89,1024,169,-119,-348,-270
340,40045,84,1024,95,-128,-351,-285
341,40051,61,1016,-2,-121,-358,-298
342,40057,42,1003,-52,-112,-352,-303
343,40064,17,965,-110,-115,-366,-319
344,40070,11,931,-138,-113,-379,-328
345,40076,-19,932,-182,-98,-375,-334
346,40082,-42,934,-207,-110,-379,-346
347,40089,-62,947,-259,-92,-379,-351
348,40095,-64,1011,-255,-101,-375,-345
349,40101,-51,1016,-212,-106,-372,-349
350,40107,-27,984,-158,-110,-360,-348
351,40114,-32,950,-97,-109,-357,-334
352,40120,-39,957,-30,-113,-354,-331
353,40126,1693,1980,638,-121,-345,-334
354,40132,-51,904,120,-121,-348,-337
355,40139,-34,1002,-48,-118,-339,-334
356,40145,8,985,-8,-115,-348,-325
357,40151,7,987,-17,-124,-342,-324
358,40157,-16,991,-15,-115,-348,-327
359,40164,-3,985,-10,-122,-346,-318
360,40170,11,991,-6,-122,-352,-324
361,40176,8,982,-8,-133,-343,-327
362,40182,0,984,-9,-124,-355,-325
363,40189,1,989,-6,-113,-351,-325
364,40195,3,985,-7,-125,-355,-321
365,40201,-1,984,-6,-115,-357,-324
366,40207,-5,999,0,-119,-343,-315
367,40214,-23,1032,-35,-130,-348,-315
368,40220,8,991,-29,-115,-343,-316
369,40226,4,997,-22,-127,-349,-318
370,40232,-19,994,-46,-127,-352,-315
371,40239,15,978,-47,-127,-349,-304
372,40245,22,976,-37,-130,-342,-312
