,Time,AX,AY,AZ,GX,GY,GZ
0,52569,66,984,1,-100,-367,-318
1,52575,53,987,-10,-94,-366,-312
2,52581,38,987,-9,-95,-363,-322
3,52588,62,986,-11,-92,-373,-313
4,52594,113,987,2,-103,-366,-322
5,52600,28,983,-8,-100,-366,-324
6,52606,20,991,11,-91,-369,-324
7,52613,53,1003,9,-98,-367,-331
8,52619,1,976,-16,-98,-366,-324
9,52625,16,997,12,-94,-360,-324
10,52631,40,986,3,-103,-354,-330
11,52638,67,997,8,-107,-348,-328
12,52644,91,983,10,-100,-358,-319
13,52650,86,987,-1,-109,-349,-327
14,52656,87,1000,0,-95,-355,-321
15,52663,66,994,-24,-92,-366,-315
16,52669,64,986,-20,-113,-369,-316
17,52675,19,984,-30,-103,-361,-310
18,52681,15,960,-38,-97,-369,-316
19,52688,0,961,-23,-104,-364,-312
20,52694,29,966,-12,-95,-367,-310
21,52700,42,984,2,-95,-367,-315
22,52706,57,996,7,-101,-360,-307
23,52713,45,984,1,-98,-367,-315
24,52719,70,991,-6,-109,-363,-310
25,52725,56,982,-17,-103,-364,-313
26,52731,68,991,-21,-106,-360,-304
27,52738,63,983,-12,-97,-363,-307
28,52744,66,1002,4,-97,-364,-312
29,52750,66,990,30,-98,-361,-309
30,52756,62,1006,66,-103,-367,-309
31,52763,83,1012,127,-91,-366,-309
32,52769,74,1016,155,-88,-361,-307
33,52775,87,999,187,-97,-367,-309
34,52781,74,1010,173,-94,-373,-316
35,52788,58,1010,128,-91,-373,-327
36,52794,42,998,67,-95,-376,-328
37,52800,45,1002,21,-91,-376,-343
38,52806,35,991,-45,-80,-378,-348
39,52813,27,967,-119,-76,-379,-349
40,52819,42,961,-171,-82,-387,-348
41,52825,46,951,-230,-76,-381,-361
42,52831,42,952,-289,-67,-382,-364
43,52838,34,954,-329,-85,-381,-357
44,52844,-5,966,-385,-85,-379,-355
45,52850,-75,989,-452,-83,-382,-348
46,52856,-157,1034,-557,-86,-373,-343
47,52863,-115,1126,-424,-91,-364,-303
48,52869,-36,1139,-28,-109,-351,-285
