,Time,AX,AY,AZ,GX,GY,GZ
0,20712,8,986,-34,-121,-364,-291
1,20718,6,986,-34,-128,-360,-288
2,20725,7,984,-35,-124,-369,-303
3,20731,10,988,-35,-122,-358,-298
4,20737,9,988,-37,-119,-364,-288
5,20743,9,986,-38,-127,-361,-294
6,20750,13,987,-36,-125,-352,-295
7,20756,10,987,-39,-125,-357,-291
8,20762,11,989,-43,-122,-358,-297
9,20768,14,982,-32,-119,-357,-298
10,20775,6,985,-39,-130,-361,-294
11,20781,21,1003,-41,-124,-367,-301
12,20787,20,998,-27,-127,-357,-297
13,20793,4,986,-33,-119,-358,-295
14,20800,2,977,-26,-128,-360,-297
15,20806,8,977,-59,-125,-351,-306
16,20812,-13,959,-38,-122,-352,-306
17,20818,11,992,-31,-122,-361,-304
18,20825,16,992,-27,-115,-367,-306
19,20831,15,988,-36,-115,-357,-304
20,20837,23,1001,-12,-116,-363,-309
21,20843,0,991,-35,-116,-366,-307
22,20850,-20,1044,48,-121,-361,-310
23,20856,-120,1002,-41,-115,-360,-321
24,20862,28,996,27,-119,-360,-324
25,20868,44,979,30,-119,-340,-333
26,20875,69,977,39,-116,-339,-328
27,20881,66,989,16,-125,-357,-334
28,20887,38,963,-30,-116,-351,-340
29,20893,19,989,-41,-113,-358,-337
30,20900,-1,996,-32,-124,-346,-342
31,20906,-15,959,-13,-112,-360,-336
32,20912,-25,952,-14,-107,-364,-342
33,20918,-7,990,-6,-116,-360,-334
34,20925,7,979,3,-107,-355,-333
35,20931,22,991,16,-116,-349,-342
36,20937,23,1010,29,-106,-352,-336
37,20943,23,998,21,-104,-352,-334
38,20950,24,1000,30,-113,-354,-334
39,20956,23,988,17,-125,-345,-327
40,20962,27,978,23,-119,-346,-328
41,20968,4,986,53,-116,-357,-319
42,20975,-7,979,81,-118,-360,-342
43,20981,0,988,110,-121,-355,-325
44,20987,6,1011,141,-121,-354,-319
45,20993,44,1016,154,-116,-363,-324
46,21000,54,1007,140,-113,-358,-336
47,21006,57,1017,120,-115,-360,-331
48,21012,54,1009,82,-118,-370,-342
49,21018,37,992,24,-107,-364,-342
50,21025,17,987,-50,-104,-370,-355
51,21031,1,965,-130,-98,-373,-354
52,21037,-12,947,-202,-101,-376,-357
53,21043,-36,938,-279,-86,-376,-363
54,21050,-64,953,-335,-94,-373,-364
55,21056,-95,974,-401,-104,-376,-349
56,21062,-81,1018,-452,-107,-364,-342
57,21068,-43,1071,-481,-110,-361,-331
58,21075,79,1197,-107,-125,-352,-312
59,21081,-4,1069,273,-121,-346,-300
60,21087,88,1025,501,-140,-345,-282
61,21093,87,1026,497,-127,-339,-277
62,21100,61,1017,398,-130,-346,-277
63,21106,39,997,261,-124,-340,-288
64,21112,25,1020,145,-139,-339,-297
65,21118,-1,1000,50,-131,-345,-295
66,21125,-12,993,1,-116,-349,-303
67,21131,-33,973,-34,-125,-355,-312
68,21137,-34,968,-47,-121,-352,-313
69,21143,-25,976,-58,-122,-349,-324
70,21150,-43,983,-86,-122,-354,-318
71,21156,-34,984,-91,-119,-360,-321
72,21162,-24,975,-89,-116,-361,-324
73,21168,-6,958,-92,-122,-354,-333
74,21175,-6,971,-84,-116,-354,-330
75,21181,-17,960,-105,-116,-346,-324
76,21187,-26,988,-85,-116,-360,-330
77,21193,-46,991,-35,-113,-352,-333
78,21200,-52,966,6,-119,-334,-330
79,21206,498,1466,131,-131,-346,-319
80,21212,-68,954,17,-121,-345,-310
81,21218,-38,996,11,-116,-343,-312
82,21225,-31,986,10,-119,-346,-306
83,21231,-30,984,11,-122,-349,-309
84,21237,-29,991,11,-115,-346,-313
85,21243,-33,992,6,-124,-343,-310
86,21250,-36,988,4,-119,-345,-306
87,21256,-36,984,3,-122,-342,-300
88,21262,-32,988,0,-124,-331,-307
89,21268,-34,987,2,-121,-337,-300
90,21275,-37,988,7,-124,-343,-307
91,21281,-37,983,10,-125,-354,-318
92,21287,-42,991,13,-127,-334,-307
93,21293,-31,992,6,-118,-351,-313
94,21300,-21,1002,-18,-119,-339,-318
95,21306,-28,988,-7,-116,-337,-310
96,21312,-42,990,19,-116,-339,-325
97,21318,-28,988,14,-125,-339,-336
98,21325,-36,991,20,-122,-336,-319
99,21331,-15,987,8,-128,-340,-328
100,21337,-5,986,9,-124,-339,-330
101,21343,-41,986,37,-122,-334,-337
102,21350,-22,971,33,-127,-330,-336
103,21356,-22,989,22,-115,-339,-340
104,21362,-19,991,22,-116,-333,-337
105,21368,-29,971,28,-119,-334,-343
106,21375,-39,974,26,-118,-325,-337
107,21381,3,978,3,-130,-325,-324
108,21387,-13,1001,-60,-124,-327,-310
109,21393,-67,954,-6,-121,-339,-322
110,21400,-106,1001,18,-131,-334,-313
111,21406,-42,1015,-4,-125,-336,-319
112,21412,-24,984,-47,-121,-343,-304
113,21418,-10,975,-34,-122,-343,-301
114,21425,-2,993,-50,-118,-346,-297
115,21431,5,983,-61,-119,-352,-291
116,21437,6,984,-75,-119,-352,-294
117,21443,24,976,-85,-121,-361,-300
118,21450,35,964,-75,-115,-357,-303
119,21456,31,975,-58,-115,-370,-294
120,21462,27,987,-52,-121,-357,-291
121,21468,43,985,-62,-121,-366,-303
122,21475,62,976,-71,-112,-378,-303
123,21481,65,983,-60,-110,-360,-306
124,21487,71,981,-60,-109,-378,-300
125,21493,77,978,-67,-110,-373,-304
126,21500,78,978,-68,-107,-378,-291
127,21506,75,979,-70,-113,-372,-295
128,21512,64,985,-71,-106,-382,-303
129,21518,68,975,-68,-121,-364,-295
130,21525,62,983,-74,-110,-369,-291
131,21531,52,986,-76,-115,-376,-291
132,21537,50,983,-95,-106,-372,-288
133,21543,67,983,-72,-103,-379,-286
134,21550,65,975,-90,-112,-372,-288
135,21556,60,978,-89,-101,-370,-283
136,21562,59,973,-95,-115,-378,-279
137,21568,55,978,-101,-121,-372,-286
138,21575,60,980,-87,-103,-366,-286
139,21581,65,975,-91,-103,-373,-277
140,21587,64,987,-92,-112,-375,-273
141,21593,71,976,-92,-113,-372,-285
