,Time,AX,AY,AZ,GX,GY,GZ
0,21211,54,987,14,-89,-358,-330
1,21217,56,987,12,-85,-367,-318
2,21223,52,986,9,-77,-363,-337
3,21229,54,988,8,-92,-366,-328
4,21236,52,987,14,-94,-364,-325
5,21242,54,984,13,-80,-361,-331
6,21248,53,986,13,-91,-358,-334
7,21254,63,968,9,-83,-355,-324
8,21261,48,982,18,-89,-364,-333
9,21267,48,989,14,-95,-364,-331
10,21273,19,1016,14,-89,-357,-340
11,21279,5,1005,34,-92,-358,-337
12,21286,31,990,19,-83,-360,-330
13,21292,63,985,30,-95,-348,-333
14,21298,63,995,29,-83,-360,-343
15,21304,70,980,35,-89,-357,-331
16,21311,53,987,26,-83,-348,-340
17,21317,64,978,-22,-88,-355,-342
18,21323,78,968,-21,-91,-360,-342
19,21329,71,982,-2,-85,-360,-330
20,21336,52,994,-11,-88,-358,-333
21,21342,53,975,18,-89,-366,-321
22,21348,26,954,45,-101,-361,-337
23,21354,43,983,18,-91,-364,-330
24,21361,39,997,26,-92,-360,-327
25,21367,46,979,16,-92,-363,-319
26,21373,42,977,-6,-91,-354,-322
27,21379,45,988,-11,-89,-361,-324
28,21386,58,978,2,-89,-354,-328
29,21392,50,988,37,-88,-361,-318
30,21398,52,980,78,-95,-352,-325
31,21404,46,998,146,-92,-354,-327
32,21411,57,1013,170,-94,-364,-321
33,21417,56,1023,175,-88,-361,-327
34,21423,83,1019,149,-92,-363,-319
35,21429,69,1006,116,-88,-366,-325
36,21436,75,1008,92,-88,-361,-334
37,21442,81,996,56,-82,-366,-339
38,21448,68,1001,30,-76,-378,-345
39,21454,51,981,0,-74,-372,-352
40,21461,31,958,-48,-79,-370,-355
41,21467,21,944,-88,-70,-378,-360
42,21473,-5,944,-148,-79,-379,-369
43,21479,0,937,-234,-82,-384,-363
44,21486,1,943,-298,-82,-367,-360
45,21492,16,982,-375,-80,-382,-360
46,21498,26,1042,-429,-88,-372,-357
47,21504,12,1108,-444,-92,-367,-334
48,21511,32,1120,-392,-91,-363,-318
49,21517,-83,972,106,-103,-358,-297
50,21523,30,1046,75,-97,-346,-285
51,21529,29,1044,381,-89,-352,-274
52,21536,46,1023,563,-98,-343,-261
53,21542,-17,969,492,-101,-346,-268
54,21548,-26,965,365,-98,-354,-270
55,21554,-5,982,246,-98,-349,-279
56,21561,29,980,79,-101,-348,-289
57,21567,42,1004,-5,-97,-351,-298
58,21573,69,1003,-109,-94,-343,-315
59,21579,85,1018,-144,-100,-343,-315
60,21586,68,996,-153,-98,-340,-324
61,21592,49,986,-189,-83,-348,-333
62,21598,15,975,-152,-101,-351,-327
63,21604,-9,965,-141,-94,-352,-327
64,21611,-14,979,-139,-97,-346,-324
65,21617,-12,1011,-88,-97,-346,-324
66,21623,-2,976,-76,-103,-351,-324
67,21629,2,960,-85,-97,-352,-321
68,21636,19,965,-74,-95,-340,-310
69,21642,1,981,-86,-103,-349,-319
70,21648,-7,977,-60,-100,-336,-321
71,21654,-25,931,-19,-107,-333,-312
72,21661,-74,947,17,-101,-339,-313
73,21667,251,784,35,-110,-340,-304
74,21673,36,978,-5,-103,-337,-291
75,21679,-36,950,-44,-112,-345,-295
76,21686,-82,972,-61,-110,-342,-291
77,21692,8,979,-74,-103,-346,-289
78,21698,13,992,-43,-103,-348,-285
79,21704,7,968,-71,-98,-340,-288
80,21711,26,988,-59,-98,-354,-289
81,21717,15,994,-71,-106,-343,-282
82,21723,46,987,-60,-91,-351,-298
83,21729,63,985,-78,-94,-355,-312
84,21736,83,984,-59,-104,-351,-303
85,21742,62,984,-63,-100,-364,-310
86,21748,78,981,-59,-91,-367,-301
87,21754,82,971,-75,-83,-369,-304
88,21761,101,985,-78,-97,-369,-310
89,21767,100,977,-69,-86,-376,-307
90,21773,104,975,-70,-77,-379,-297
91,21779,113,969,-57,-76,-372,-312
92,21786,128,976,-66,-77,-375,-318
93,21792,151,984,-66,-82,-379,-313
94,21798,170,974,-53,-74,-381,-309
95,21804,101,984,-32,-77,-394,-327
96,21811,163,972,-65,-71,-387,-321
97,21817,177,959,-91,-68,-403,-321
98,21823,187,962,-91,-67,-399,-304
99,21829,205,969,-89,-64,-393,-319
100,21836,164,973,-62,-68,-397,-312
101,21842,182,965,-75,-79,-405,-310
102,21848,177,962,-83,-73,-390,-306
103,21854,169,966,-95,-77,-400,-303
104,21861,169,967,-105,-71,-391,-300
105,21867,143,970,-106,-79,-394,-288
106,21873,122,968,-132,-82,-396,-283
107,21879,147,964,-122,-74,-394,-286
108,21886,139,969,-120,-83,-387,-294
109,21892,128,972,-107,-82,-388,-297
110,21898,138,971,-96,-82,-385,-297
111,21904,141,968,-91,-82,-385,-309
112,21911,143,971,-84,-85,-379,-307
113,21917,135,975,-86,-83,-382,-303
114,21923,127,972,-83,-77,-378,-301
115,21929,125,970,-88,-86,-376,-315
116,21936,123,974,-81,-83,-381,-310
117,21942,124,974,-79,-89,-376,-304
118,21948,124,975,-74,-74,-370,-306
119,21954,118,977,-73,-83,-372,-316
120,21961,118,977,-76,-82,-387,-304
121,21967,120,976,-82,-85,-373,-312
122,21973,127,973,-83,-94,-372,-313
123,21979,122,974,-88,-88,-379,-313
124,21986,128,976,-82,-85,-385,-309
125,21992,132,974,-76,-88,-382,-318
126,21998,128,977,-69,-82,-381,-310
127,22004,125,977,-67,-79,-379,-306
128,22011,126,978,-64,-76,-378,-318
129,22017,130,975,-60,-86,-379,-307
130,22023,126,976,-67,-80,-379,-310
131,22029,126,977,-71,-82,-381,-319
132,22036,127,975,-70,-89,-378,-316
133,22042,127,975,-70,-83,-382,-321
134,22048,130,976,-67,-76,-381,-319
135,22054,131,974,-69,-79,-381,-307
136,22061,126,973,-74,-80,-378,-309
137,22067,128,975,-71,-83,-381,-298
138,22073,129,978,-70,-80,-381,-310
139,22079,130,972,-72,-88,-390,-315
140,22086,127,976,-81,-76,-376,-309
141,22092,115,987,-71,-89,-376,-310
142,22098,106,976,-61,-89,-370,-309
143,22104,94,976,-72,-86,-369,-297
144,22111,81,977,-67,-89,-370,-297
145,22117,76,984,-75,-91,-366,-298
146,22123,86,983,-58,-92,-372,-310
147,22129,61,991,-70,-91,-361,-310
148,22136,67,967,-38,-97,-360,-312
149,22142,66,989,-36,-95,-360,-304
150,22148,7,996,-27,-98,-352,-303
151,22154,61,979,-11,-92,-357,-307
152,22161,103,989,9,-89,-366,-310
153,22167,71,974,-4,-94,-361,-315
154,22173,55,983,-33,-89,-360,-313
155,22179,88,949,18,-85,-357,-312
156,22186,50,982,-23,-95,-355,-321
157,22192,95,963,-13,-88,-352,-324
158,22198,105,984,0,-83,-361,-324
159,22204,-69,993,-25,-97,-361,-331
160,22211,60,983,14,-83,-372,-327
161,22217,63,991,-8,-86,-360,-333
162,22223,54,1025,-3,-89,-366,-324
163,22229,108,980,-7,-89,-357,-334
164,22236,112,976,-20,-91,-364,-312
165,22242,55,1033,-21,-89,-370,-304
166,22248,44,1062,-13,-86,-370,-306
167,22254,-7,970,-12,-88,-369,-313
168,22261,27,914,-14,-88,-370,-321
169,22267,24,947,-15,-83,-373,-316
170,22273,143,982,-19,-91,-364,-319
171,22279,149,1001,-18,-80,-358,-312
172,22286,138,1011,-4,-85,-364,-312
173,22292,95,1018,-19,-92,-372,-312
174,22298,46,977,-49,-88,-378,-313
175,22304,56,985,-62,-80,-367,-306
176,22311,25,992,-43,-73,-372,-309
177,22317,42,953,-34,-86,-376,-306
178,22323,41,974,-10,-88,-375,-313
179,22329,64,984,-17,-79,-373,-310
180,22336,38,986,-15,-85,-376,-306
181,22342,62,996,-57,-88,-370,-306
182,22348,68,983,-46,-85,-372,-310
183,22354,78,981,-33,-88,-369,-306
184,22361,87,963,-23,-92,-364,-309
185,22367,76,1002,1,-91,-366,-300
186,22373,80,990,20,-91,-373,-301
187,22379,73,1019,56,-95,-363,-298
188,22386,63,1000,73,-89,-364,-309
189,22392,57,994,83,-82,-369,-304
190,22398,73,1012,117,-91,-364,-303
191,22404,70,1008,130,-92,-367,-313
192,22411,89,1002,118,-80,-372,-316
193,22417,96,1016,102,-83,-373,-321
194,22423,100,1010,73,-79,-375,-327
195,22429,95,1000,12,-83,-363,-327
196,22436,71,970,-55,-77,-376,-340
197,22442,62,952,-105,-73,-378,-349
198,22448,42,949,-177,-82,-376,-358
199,22454,25,936,-222,-74,-384,-346
200,22461,0,960,-277,-77,-381,-357
201,22467,3,987,-349,-82,-382,-351
202,22473,9,1000,-393,-71,-375,-346
203,22479,-16,1041,-488,-85,-378,-346
204,22486,-74,1030,-514,-85,-367,-316
205,22492,50,1130,-376,-95,-357,-307
206,22498,99,1093,-168,-98,-352,-304
207,22504,81,1100,316,-100,-348,-286
208,22511,21,1022,576,-92,-348,-271
209,22517,-20,955,599,-103,-345,-267
210,22523,4,978,469,-94,-345,-271
211,22529,5,984,331,-97,-352,-283
212,22536,25,985,148,-94,-349,-291
213,22542,54,1026,57,-95,-345,-307
214,22548,61,1005,-41,-97,-346,-312
215,22554,29,1006,-125,-97,-342,-334
216,22561,40,944,-217,-97,-339,-336
217,22567,26,968,-192,-86,-351,-333
218,22573,8,928,-211,-92,-345,-349
219,22579,1,973,-182,-85,-345,-342
220,22586,-48,965,-160,-89,-348,-345
221,22592,-112,944,-158,-89,-334,-345
222,22598,96,973,36,-97,-339,-325
223,22604,-7,1015,48,-109,-349,-325
224,22611,-38,993,-5,-91,-349,-322
225,22617,29,982,-23,-101,-352,-316
226,22623,18,993,-16,-104,-348,-316
227,22629,39,978,-38,-104,-351,-312
228,22636,39,986,-36,-98,-342,-318
229,22642,33,985,-32,-94,-351,-307
230,22648,33,987,-42,-94,-346,-304
231,22654,29,982,-45,-97,-351,-306
232,22661,35,984,-46,-95,-346,-309
233,22667,50,985,-50,-97,-349,-312
234,22673,52,984,-59,-101,-360,-318
235,22679,74,979,-63,-86,-364,-310
236,22686,86,979,-70,-89,-361,-304
237,22692,96,981,-70,-94,-379,-304
238,22698,108,975,-55,-83,-381,-301
239,22704,95,986,-44,-86,-378,-312
240,22711,124,976,-49,-86,-382,-315
241,22717,123,989,-35,-71,-388,-318
242,22723,152,973,-23,-73,-391,-318
243,22729,158,973,-37,-65,-391,-322
244,22736,176,966,-40,-71,-393,-325
245,22742,192,961,-47,-70,-403,-330
246,22748,161,973,-30,-79,-391,-333
247,22754,146,977,-60,-70,-397,-328
248,22761,153,974,-68,-70,-387,-324
249,22767,162,973,-59,-82,-391,-325
250,22773,170,968,-58,-73,-394,-328
251,22779,169,972,-56,-65,-394,-327
252,22786,172,967,-53,-71,-402,-321
253,22792,173,969,-53,-74,-399,-319
254,22798,169,969,-59,-80,-399,-321
255,22804,169,972,-56,-73,-397,-325
256,22811,165,973,-53,-74,-390,-325
257,22817,168,972,-52,-73,-396,-319
258,22823,172,968,-55,-71,-393,-327
259,22829,160,974,-51,-74,-396,-318
260,22836,167,970,-58,-71,-393,-322
261,22842,174,968,-60,-70,-394,-330
262,22848,181,969,-58,-71,-390,-331
263,22854,176,967,-39,-71,-396,-331
264,22861,173,970,-50,-67,-394,-328
265,22867,179,966,-49,-73,-393,-324
266,22873,181,970,-47,-65,-396,-330
267,22879,188,969,-54,-73,-388,-330
268,22886,176,972,-48,-74,-393,-334
269,22892,169,971,-22,-70,-388,-334
270,22898,162,974,-19,-62,-391,-352
271,22904,169,976,-31,-76,-399,-343
272,22911,170,972,-23,-76,-390,-351
273,22917,164,971,-18,-76,-381,-351
274,22923,166,969,-22,-71,-390,-342
275,22929,171,971,-29,-64,-388,-354
276,22936,176,970,-29,-71,-391,-349
277,22942,179,973,-25,-68,-390,-352
278,22948,188,969,-17,-76,-387,-346
279,22954,172,973,-13,-71,-391,-343
280,22961,189,967,-34,-62,-396,-342
281,22967,189,968,-43,-68,-405,-346
282,22973,197,967,-50,-65,-405,-334
283,22979,186,968,-37,-65,-405,-339
284,22986,196,967,-46,-64,-402,-340
285,22992,193,968,-39,-73,-399,-339
286,22998,193,967,-33,-62,-406,-339
287,23004,192,966,-36,-71,-403,-336
288,23011,183,973,-28,-62,-400,-336
289,23017,194,966,-26,-56,-406,-331
290,23023,206,961,-23,-59,-405,-331
291,23029,209,961,-53,-65,-408,-330
292,23036,200,964,-46,-62,-412,-331
293,23042,201,964,-43,-65,-405,-331
294,23048,197,966,-42,-58,-414,-325
295,23054,196,966,-36,-65,-406,-325
296,23061,190,965,-44,-64,-403,-327
297,23067,184,969,-45,-71,-406,-330
298,23073,188,967,-47,-71,-402,-328
299,23079,183,970,-36,-71,-405,-325
300,23086,189,969,-39,-64,-403,-331
301,23092,179,969,-37,-67,-397,-325
302,23098,181,966,-37,-71,-405,-324
303,23104,190,963,-37,-70,-411,-327
304,23111,184,971,-42,-71,-397,-327
305,23117,184,971,-43,-62,-408,-330
306,23123,187,969,-47,-68,-409,-336
307,23129,206,961,-44,-59,-399,-330
308,23136,192,968,-36,-73,-403,-327
309,23142,186,971,-39,-68,-399,-330
310,23148,193,966,-34,-64,-405,-330
311,23154,197,968,-33,-62,-403,-334
312,23161,195,965,-22,-62,-412,-334
313,23167,200,964,-28,-67,-411,-336
314,23173,198,965,-37,-55,-411,-337
315,23179,200,965,-29,-68,-406,-334
316,23186,203,965,-30,-62,-414,-334
317,23192,195,967,-26,-62,-409,-339
318,23198,191,969,-25,-59,-408,-340
319,23204,195,969,-31,-67,-405,-340
320,23211,198,968,-36,-71,-408,-325
321,23217,198,968,-30,-56,-411,-325
322,23223,210,958,-12,-67,-412,-336
323,23229,219,956,-7,-59,-414,-339
324,23236,206,968,-16,-64,-409,-342
325,23242,210,958,-4,-56,-414,-336
326,23248,169,980,0,-67,-405,-342
327,23254,173,968,-9,-67,-396,-337
328,23261,147,979,-13,-76,-393,-345
329,23267,127,981,-2,-70,-387,-334
330,23273,117,986,-13,-85,-376,-333
331,23279,92,975,1,-77,-382,-336
332,23286,148,979,16,-82,-379,-324
333,23292,34,1012,-31,-85,-379,-315
334,23298,129,956,1,-92,-375,-328
335,23304,148,975,-20,-88,-370,-324
336,23311,-16,982,10,-85,-372,-330
337,23317,102,982,-4,-92,-372,-304
338,23323,24,994,-55,-80,-372,-301
339,23329,103,1041,-63,-91,-373,-295
340,23336,172,993,-54,-79,-378,-310
341,23342,2,1015,3,-85,-375,-313
342,23348,44,1046,46,-100,-367,-312
343,23354,-5,1005,-4,-91,-363,-322
344,23361,103,980,-16,-89,-370,-316
345,23367,33,956,-56,-94,-370,-309
346,23373,125,941,-83,-94,-369,-310
347,23379,94,974,-71,-97,-360,-313
348,23386,121,973,-63,-89,-360,-313
349,23392,105,988,-58,-94,-372,-306
350,23398,64,983,-46,-83,-370,-309
351,23404,47,978,-18,-91,-369,-307
352,23411,18,919,-30,-91,-361,-312
353,23417,43,989,-51,-91,-373,-301
354,23423,36,981,-38,-94,-363,-318
355,23429,74,998,-5,-97,-360,-306
356,23436,55,984,-7,-97,-370,-298
357,23442,83,994,-5,-85,-364,-312
358,23448,47,987,-37,-95,-360,-303
359,23454,45,984,-33,-85,-364,-306
360,23461,44,982,-48,-97,-360,-301
361,23467,37,975,-45,-88,-366,-307
362,23473,44,1000,1,-92,-361,-298
363,23479,57,1000,35,-95,-363,-298
364,23486,75,1006,84,-98,-363,-312
365,23492,74,1026,136,-100,-360,-304
366,23498,91,1020,143,-101,-352,-307
367,23504,88,1008,155,-100,-363,-310
368,23511,89,1024,121,-98,-358,-309
369,23517,78,996,56,-92,-363,-316
370,23523,71,990,-34,-88,-378,-322
371,23529,67,1005,-62,-86,-376,-324
372,23536,47,967,-134,-80,-372,-334
373,23542,53,967,-160,-79,-379,-349
374,23548,-8,961,-223,-82,-381,-358
375,23554,-12,925,-306,-82,-387,-352
376,23561,-5,964,-420,-88,-369,-349
377,23567,-19,986,-568,-82,-378,-343
378,23573,-48,1013,-609,-86,-361,-328
379,23579,-3,1047,-497,-89,-363,-318
380,23586,291,838,72,-107,-346,-303
381,23592,84,1150,294,-92,-348,-288
382,23598,53,1038,516,-98,-349,-277
383,23604,80,1026,505,-98,-342,-274
384,23611,32,1024,398,-101,-351,-274
385,23617,54,1016,272,-101,-346,-274
386,23623,46,1016,167,-97,-355,-276
387,23629,12,1024,68,-101,-348,-291
388,23636,5,996,-46,-91,-363,-297
389,23642,-8,914,-208,-95,-357,-309
390,23648,-19,882,-289,-88,-361,-316
391,23654,-49,917,-310,-98,-360,-316
392,23661,-49,978,-223,-92,-357,-321
393,23667,308,853,-582,-94,-352,-313
394,23673,-13,989,75,-97,-348,-313
395,23679,46,999,-44,-88,-364,-307
396,23686,53,974,-37,-86,-363,-295
397,23692,38,978,-32,-91,-354,-312
398,23698,68,976,-12,-88,-358,-306
399,23704,40,987,-22,-91,-357,-312
400,23711,50,985,-39,-103,-357,-303
401,23717,46,983,-48,-98,-352,-291
402,23723,34,975,-48,-85,-357,-304
403,23729,30,974,-31,-100,-355,-298
404,23736,94,974,-42,-100,-349,-301
405,23742,32,987,-53,-97,-355,-297
406,23748,50,982,-55,-94,-361,-306
407,23754,53,999,-70,-101,-363,-309
408,23761,66,984,-60,-85,-366,-300
409,23767,62,993,-66,-101,-373,-289
410,23773,70,974,-71,-86,-373,-295
411,23779,158,974,-136,-85,-381,-280
412,23786,120,969,-137,-88,-385,-288
413,23792,146,959,-135,-91,-381,-277
414,23798,152,962,-130,-82,-394,-282
415,23804,172,968,-150,-83,-391,-277
416,23811,141,964,-155,-80,-390,-280
417,23817,156,962,-138,-85,-393,-298
418,23823,164,971,-121,-80,-388,-312
419,23829,172,966,-64,-64,-396,-330
420,23836,182,965,-2,-74,-384,-340
421,23842,184,969,-40,-79,-384,-345
422,23848,207,966,-70,-74,-397,-327
423,23854,177,973,-73,-71,-399,-328
424,23861,185,962,-98,-74,-393,-324
425,23867,191,963,-70,-76,-396,-325
426,23873,190,966,-68,-65,-391,-319
427,23879,194,965,-62,-70,-397,-325
428,23886,199,966,-53,-67,-400,-334
429,23892,197,966,-54,-61,-397,-325
430,23898,200,961,-51,-67,-399,-331
431,23904,190,969,-59,-67,-399,-336
432,23911,180,967,-59,-77,-399,-334
433,23917,176,970,-65,-74,-397,-324
434,23923,179,969,-47,-74,-397,-328
435,23929,179,969,-51,-68,-400,-337
436,23936,180,968,-44,-65,-394,-331
437,23942,176,968,-49,-70,-394,-336
438,23948,171,970,-49,-79,-394,-333
439,23954,171,972,-46,-67,-385,-340
440,23961,172,968,-45,-70,-391,-333
441,23967,168,972,-43,-74,-394,-333
442,23973,172,971,-32,-71,-397,-334
443,23979,171,970,-31,-76,-396,-342
444,23986,167,972,-26,-74,-393,-342
445,23992,167,971,-18,-74,-393,-334
446,23998,167,972,-27,-76,-393,-328
447,24004,164,971,-54,-76,-390,-327
448,24011,151,980,-60,-74,-393,-321
449,24017,144,977,-26,-73,-396,-331
450,24023,153,974,-33,-74,-385,-334
451,24029,129,982,-25,-74,-387,-327
452,24036,137,974,-11,-85,-384,-342
453,24042,122,983,2,-76,-382,-339
454,24048,87,987,13,-73,-367,-345
455,24054,90,986,18,-83,-366,-331
456,24061,49,993,6,-83,-363,-325
457,24067,41,983,11,-88,-357,-336
458,24073,28,986,12,-94,-357,-325
459,24079,34,983,12,-80,-358,-321
460,24086,37,983,-1,-95,-352,-327
461,24092,51,985,5,-89,-364,-327
462,24098,66,983,6,-92,-367,-319
463,24104,72,988,-4,-79,-372,-324
464,24111,72,979,11,-88,-367,-322
465,24117,74,985,-1,-98,-367,-334
466,24123,72,981,2,-88,-363,-331
467,24129,83,988,-1,-92,-369,-327
468,24136,43,1002,2,-86,-373,-325
469,24142,77,990,-29,-91,-370,-324
470,24148,52,988,-17,-92,-360,-327
471,24154,55,959,-6,-88,-363,-324
472,24161,42,966,7,-92,-366,-318
473,24167,48,982,-21,-95,-355,-330
474,24173,21,994,12,-94,-366,-321
475,24179,95,978,-33,-95,-364,-319
476,24186,31,992,8,-92,-369,-307
477,24192,39,976,-26,-91,-361,-318
478,24198,41,980,-18,-94,-364,-306
479,24204,52,989,-19,-100,-366,-309
