,Time,AX,AY,AZ,GX,GY,GZ
151,61373,42,986,-52,-106,-378,-315
152,61380,60,963,-57,-104,-378,-300
153,61386,63,965,-49,-106,-375,-304
154,61392,60,983,-39,-113,-376,-306
155,61398,67,981,-22,-107,-372,-304
156,61405,70,1004,-1,-107,-378,-303
157,61411,64,1004,13,-106,-370,-300
158,61417,65,985,7,-116,-370,-298
159,61423,81,981,-17,-119,-370,-304
160,61430,76,982,-48,-104,-369,-294
161,61436,88,992,-52,-107,-375,-300
162,61442,73,982,-67,-106,-369,-300
163,61448,72,987,-43,-106,-361,-300
164,61455,78,996,-45,-106,-370,-295
165,61461,76,972,-50,-109,-364,-295
166,61467,65,970,-41,-101,-367,-289
167,61473,55,967,-32,-101,-370,-301
168,61480,64,986,-24,-110,-372,-301
169,61486,111,997,-15,-109,-364,-295
170,61492,84,1006,39,-109,-372,-294
171,61498,82,1010,114,-110,-370,-298
172,61505,86,1021,162,-104,-370,-312
173,61511,98,1016,166,-106,-372,-309
174,61517,92,1009,159,-110,-378,-312
175,61523,95,1008,126,-104,-381,-316
176,61530,86,1006,80,-109,-370,-325
177,61536,83,1001,14,-103,-390,-330
178,61542,64,984,-68,-98,-387,-328
179,61548,50,964,-138,-95,-387,-337
180,61555,31,952,-210,-92,-399,-349
181,61561,28,932,-264,-86,-384,-363
182,61567,21,936,-355,-91,-393,-360
183,61573,-11,951,-447,-82,-402,-360
184,61580,-34,991,-564,-95,-384,-352
185,61586,-63,1032,-663,-85,-378,-334
186,61592,-43,1112,-718,-104,-373,-327
187,61598,65,996,48,-122,-360,-300
188,61605,90,1198,-14,-118,-358,-262
189,61611,128,1104,460,-119,-361,-247
190,61617,113,1069,602,-119,-357,-237
191,61623,104,1020,589,-118,-357,-225
192,61630,105,984,475,-121,-352,-235
193,61636,90,971,333,-122,-351,-247
194,61642,83,1030,210,-116,-357,-253
195,61648,95,1061,123,-119,-352,-265
196,61655,52,1044,11,-113,-358,-268
197,61661,-4,1012,-128,-122,-369,-283
198,61667,-30,993,-219,-109,-355,-294
199,61673,-26,971,-243,-110,-373,-307
200,61680,-48,919,-300,-106,-369,-309
201,61686,-81,922,-328,-112,-372,-327
202,61692,-92,910,-302,-106,-370,-313
203,61698,-78,962,-246,-106,-366,-325
204,61705,295,1123,0,-115,-373,-304
205,61711,-62,976,19,-113,-357,-324
206,61717,-11,1003,5,-104,-360,-319
207,61723,59,991,0,-113,-363,-313
208,61730,41,991,0,-119,-364,-327
