,Time,AX,AY,AZ,GX,GY,GZ
0,24470,0,991,-11,-122,-358,-301
1,24476,0,988,-11,-115,-360,-307
2,24482,-9,988,-15,-109,-358,-303
3,24488,-1,983,-14,-113,-361,-304
4,24495,-10,987,-12,-116,-360,-303
5,24501,-12,988,-9,-112,-360,-309
6,24507,-13,985,-18,-124,-361,-303
7,24513,-6,990,-19,-118,-360,-304
8,24520,7,1007,-15,-124,-358,-298
9,24526,-5,990,-18,-121,-361,-309
10,24532,-3,988,-17,-115,-363,-300
11,24538,4,988,-11,-116,-367,-310
12,24545,10,990,1,-118,-367,-310
13,24551,7,1004,11,-122,-363,-318
14,24557,-43,993,-12,-110,-361,-321
15,24563,-22,999,35,-112,-360,-330
16,24570,6,1030,21,-112,-366,-322
17,24576,41,1030,5,-119,-361,-330
18,24582,87,1039,-26,-106,-364,-322
19,24588,100,997,-26,-107,-366,-327
20,24595,60,973,-7,-104,-364,-328
21,24601,6,966,3,-100,-367,-330
22,24607,-22,944,6,-103,-373,-345
23,24613,-37,926,19,-101,-373,-343
24,24620,-35,944,25,-103,-375,-340
25,24626,-24,963,18,-98,-370,-349
26,24632,-6,980,31,-107,-375,-339
27,24638,7,985,38,-103,-373,-336
28,24645,37,998,45,-101,-369,-331
29,24651,51,1010,45,-103,-367,-336
30,24657,59,1010,34,-107,-363,-331
31,24663,60,984,-13,-103,-360,-336
32,24670,45,995,-16,-110,-370,-343
33,24676,22,1000,-13,-107,-358,-340
34,24682,14,998,2,-115,-363,-330
35,24688,16,978,8,-109,-363,-333
36,24695,13,972,5,-110,-363,-340
37,24701,21,990,8,-106,-364,-333
38,24707,18,980,20,-110,-367,-328
39,24713,26,980,32,-107,-363,-333
40,24720,20,996,46,-107,-361,-339
41,24726,16,988,72,-116,-361,-328
42,24732,10,1027,134,-107,-363,-327
43,24738,13,1015,194,-110,-366,-336
44,24745,23,1018,258,-107,-361,-330
45,24751,56,1017,265,-104,-357,-337
46,24757,47,1017,214,-98,-355,-342
47,24763,41,1008,135,-109,-372,-352
48,24770,36,1011,58,-101,-364,-361
49,24776,9,987,-20,-92,-373,-357
50,24782,-10,965,-86,-86,-379,-360
51,24788,-32,955,-147,-86,-375,-379
52,24795,-33,947,-205,-77,-376,-378
53,24801,-25,961,-274,-82,-381,-378
54,24807,-38,976,-350,-79,-379,-369
55,24813,-44,993,-439,-92,-378,-375
56,24820,-109,1049,-509,-103,-370,-367
57,24826,-90,1052,-481,-94,-369,-351
58,24832,-54,1153,-317,-109,-357,-333
59,24838,-39,1009,-96,-115,-342,-327
60,24845,8,1110,101,-119,-337,-303
61,24851,84,1120,311,-130,-340,-291
62,24857,18,1030,399,-139,-337,-280
63,24863,23,1011,410,-137,-331,-280
64,24870,24,1014,371,-143,-330,-277
65,24876,38,993,293,-136,-334,-277
