,Time,AX,AY,AZ,GX,GY,GZ
151,7724,145,969,-66,-71,-385,-309
152,7731,117,981,-86,-83,-390,-309
153,7737,101,985,-79,-82,-378,-301
154,7743,113,975,-75,-91,-381,-312
155,7749,105,978,-88,-83,-375,-309
156,7756,98,981,-63,-83,-372,-306
157,7762,91,982,-54,-88,-363,-321
158,7768,87,985,-51,-92,-369,-319
159,7774,106,953,-28,-94,-361,-330
160,7781,71,974,-48,-85,-367,-327
161,7787,61,999,-34,-86,-372,-328
162,7793,94,986,-15,-86,-376,-342
163,7799,92,972,4,-76,-375,-343
164,7806,105,988,4,-80,-367,-337
165,7812,78,999,6,-82,-370,-334
166,7818,25,976,-5,-74,-378,-342
167,7824,41,958,-5,-74,-387,-343
168,7831,131,988,-8,-71,-382,-328
169,7837,72,987,-18,-76,-378,-325
170,7843,149,986,40,-83,-373,-313
171,7849,80,988,-19,-85,-372,-316
172,7856,51,1006,-23,-88,-369,-316
173,7862,13,958,-57,-86,-384,-301
174,7868,126,1008,-63,-94,-375,-303
175,7874,98,1004,-42,-91,-376,-303
176,7881,44,1012,-34,-89,-366,-301
177,7887,119,1009,-28,-88,-367,-313
178,7893,124,963,-29,-92,-370,-312
179,7899,119,988,-45,-86,-364,-307
180,7906,115,984,-62,-92,-373,-309
181,7912,104,999,-53,-77,-367,-315
182,7918,43,954,-43,-85,-372,-306
183,7924,-6,938,-32,-85,-378,-310
184,7931,32,952,-55,-88,-378,-303
185,7937,34,971,-65,-89,-369,-301
186,7943,81,983,-57,-83,-372,-301
187,7949,104,983,-32,-91,-372,-294
188,7956,127,995,-18,-91,-370,-294
189,7962,103,1000,-21,-85,-375,-306
190,7968,83,983,-40,-89,-369,-303
191,7974,68,980,-74,-88,-364,-304
192,7981,87,969,-94,-86,-372,-303
193,7987,70,978,-81,-85,-372,-303
194,7993,64,974,-61,-92,-375,-294
195,7999,74,977,-54,-88,-376,-297
196,8006,74,978,-29,-94,-376,-300
197,8012,70,978,-23,-92,-369,-300
198,8018,73,975,-47,-94,-373,-297
199,8024,80,976,-62,-94,-369,-294
200,8031,75,994,-32,-86,-373,-301
201,8037,77,992,17,-85,-372,-295
202,8043,74,1009,76,-86,-378,-297
203,8049,99,1018,127,-91,-376,-295
204,8056,98,1030,146,-89,-370,-304
205,8062,112,1017,127,-100,-379,-303
206,8068,114,1007,101,-82,-372,-319
207,8074,94,1008,31,-82,-376,-325
208,8081,83,991,-17,-82,-381,-324
209,8087,73,958,-74,-74,-388,-340
210,8093,48,955,-123,-74,-391,-349
211,8099,43,940,-166,-79,-387,-355
212,8106,13,936,-236,-71,-388,-361
213,8112,0,934,-328,-65,-387,-358
214,8118,-6,949,-436,-76,-385,-346
215,8124,17,1009,-517,-80,-369,-337
216,8131,68,1106,-623,-85,-370,-336
217,8137,124,1144,-498,-88,-364,-327
218,8143,246,815,245,-103,-363,-298
219,8149,1,1043,286,-98,-366,-301
220,8156,23,996,477,-100,-351,-283
221,8162,25,981,462,-85,-345,-270
222,8168,31,1004,394,-98,-352,-274
223,8174,21,1012,246,-100,-349,-276
224,8181,45,1020,183,-94,-348,-274
225,8187,7,994,77,-95,-352,-280
226,8193,-4,972,6,-101,-352,-291
227,8199,-5,984,-2,-101,-355,-298
228,8206,3,982,-72,-88,-345,-301
229,8212,47,1027,-85,-100,-351,-310
230,8218,36,1014,-145,-101,-339,-318
231,8224,38,992,-183,-104,-343,-303
232,8231,-38,925,-236,-109,-355,-312
233,8237,151,1340,-619,-103,-351,-310
234,8243,9,952,-207,-95,-352,-303
235,8249,7,983,-3,-110,-358,-297
236,8256,-59,981,-128,-103,-349,-295
237,8262,0,931,-125,-100,-354,-304
238,8268,-114,883,-161,-97,-354,-307
239,8274,174,996,176,-100,-357,-288
240,8281,7,987,159,-94,-352,-306
241,8287,29,965,-91,-100,-345,-312
242,8293,30,978,-58,-92,-348,-315
243,8299,48,1002,-38,-109,-358,-319
244,8306,50,1008,-49,-95,-348,-316
245,8312,57,986,-20,-97,-358,-336
246,8318,49,974,-30,-88,-355,-325
247,8324,49,979,-23,-88,-357,-333
248,8331,71,982,-15,-85,-366,-324
249,8337,86,984,-17,-95,-369,-327
250,8343,93,983,-13,-83,-370,-333
251,8349,75,985,-16,-82,-366,-334
252,8356,78,987,-18,-89,-367,-328
253,8362,83,983,-13,-83,-369,-325
254,8368,75,987,-21,-89,-363,-328
255,8374,75,986,-16,-88,-360,-319
